noise edge contrasts ncorrect ntrials lambda
narrow0.5 0.048 1e-05 122.0 240.0 0.009178422291669994
narrow0.5 0.048 0.001258 159.0 240.0 0.009178422291669994
narrow0.5 0.048 0.002505 215.0 240.0 0.009178422291669994
narrow0.5 0.048 0.003753 235.0 240.0 0.009178422291669994
narrow0.5 0.048 0.005 238.0 240.0 0.009178422291669994
narrow0.5 0.15 1e-05 115.0 240.0 0.006150816224797556
narrow0.5 0.15 0.000758 146.0 240.0 0.006150816224797556
narrow0.5 0.15 0.001505 193.0 240.0 0.006150816224797556
narrow0.5 0.15 0.002253 231.0 240.0 0.006150816224797556
narrow0.5 0.15 0.003 238.0 240.0 0.006150816224797556
narrow0.5 0.95 1e-05 121.0 240.0 0.00555217164615349
narrow0.5 0.95 0.001883 148.0 240.0 0.00555217164615349
narrow0.5 0.95 0.003755 196.0 240.0 0.00555217164615349
narrow0.5 0.95 0.005627 230.0 240.0 0.00555217164615349
narrow0.5 0.95 0.0075 238.0 240.0 0.00555217164615349
narrow3 0.048 1e-05 107.0 240.0 2.235977151558576e-07
narrow3 0.048 0.001508 123.0 240.0 2.235977151558576e-07
narrow3 0.048 0.003005 154.0 240.0 2.235977151558576e-07
narrow3 0.048 0.004502 173.0 240.0 2.235977151558576e-07
narrow3 0.048 0.006 216.0 240.0 2.235977151558576e-07
narrow3 0.15 1e-05 116.0 240.0 0.007317601875863568
narrow3 0.15 0.003757 143.0 240.0 0.007317601875863568
narrow3 0.15 0.007505 199.0 240.0 0.007317601875863568
narrow3 0.15 0.011252 229.0 240.0 0.007317601875863568
narrow3 0.15 0.015 238.0 240.0 0.007317601875863568
narrow3 0.95 1e-05 115.0 240.0 0.005629009688383521
narrow3 0.95 0.007507 134.0 240.0 0.005629009688383521
narrow3 0.95 0.015005 185.0 240.0 0.005629009688383521
narrow3 0.95 0.022502 227.0 240.0 0.005629009688383521
narrow3 0.95 0.03 238.0 240.0 0.005629009688383521
narrow9 0.048 1e-05 128.0 240.0 3.2091679870125985e-06
narrow9 0.048 0.003757 140.0 240.0 3.2091679870125985e-06
narrow9 0.048 0.007505 184.0 240.0 3.2091679870125985e-06
narrow9 0.048 0.011252 225.0 240.0 3.2091679870125985e-06
narrow9 0.048 0.015 239.0 240.0 3.2091679870125985e-06
narrow9 0.15 1e-05 116.0 240.0 0.0361147583320313
narrow9 0.15 0.001883 143.0 240.0 0.0361147583320313
narrow9 0.15 0.003755 194.0 240.0 0.0361147583320313
narrow9 0.15 0.005627 226.0 240.0 0.0361147583320313
narrow9 0.15 0.0075 231.0 240.0 0.0361147583320313
narrow9 0.95 1e-05 124.0 240.0 0.0350069439036145
narrow9 0.95 0.001883 137.0 240.0 0.0350069439036145
narrow9 0.95 0.003755 196.0 240.0 0.0350069439036145
narrow9 0.95 0.005627 223.0 240.0 0.0350069439036145
narrow9 0.95 0.0075 232.0 240.0 0.0350069439036145
none 0.048 1e-05 118.0 240.0 0.018229476675710038
none 0.048 0.000758 123.0 240.0 0.018229476675710038
none 0.048 0.001505 147.0 240.0 0.018229476675710038
none 0.048 0.002253 194.0 240.0 0.018229476675710038
none 0.048 0.003 223.0 240.0 0.018229476675710038
none 0.15 1e-05 123.0 240.0 0.003136724946751059
none 0.15 0.001008 152.0 240.0 0.003136724946751059
none 0.15 0.002005 205.0 240.0 0.003136724946751059
none 0.15 0.003003 237.0 240.0 0.003136724946751059
none 0.15 0.004 239.0 240.0 0.003136724946751059
none 0.95 1e-05 109.0 240.0 0.01790475454699906
none 0.95 0.001258 125.0 240.0 0.01790475454699906
none 0.95 0.002505 167.0 240.0 0.01790475454699906
none 0.95 0.003753 212.0 240.0 0.01790475454699906
none 0.95 0.005 233.0 240.0 0.01790475454699906
pink1 0.048 1e-05 115.0 240.0 0.003131135896918202
pink1 0.048 0.003757 134.0 240.0 0.003131135896918202
pink1 0.048 0.007505 194.0 240.0 0.003131135896918202
pink1 0.048 0.011252 238.0 240.0 0.003131135896918202
pink1 0.048 0.015 239.0 240.0 0.003131135896918202
pink1 0.15 1e-05 120.0 240.0 8.976549242866532e-08
pink1 0.15 0.005007 125.0 240.0 8.976549242866532e-08
pink1 0.15 0.010005 189.0 240.0 8.976549242866532e-08
pink1 0.15 0.015003 230.0 240.0 8.976549242866532e-08
pink1 0.15 0.02 240.0 240.0 8.976549242866532e-08
pink1 0.95 1e-05 126.0 240.0 0.005363371237486427
pink1 0.95 0.012507 141.0 240.0 0.005363371237486427
pink1 0.95 0.025005 211.0 240.0 0.005363371237486427
pink1 0.95 0.037503 236.0 240.0 0.005363371237486427
pink1 0.95 0.05 239.0 240.0 0.005363371237486427
pink2 0.048 1e-05 119.0 240.0 0.0230451099843395
pink2 0.048 0.001008 137.0 240.0 0.0230451099843395
pink2 0.048 0.002005 177.0 240.0 0.0230451099843395
pink2 0.048 0.003003 222.0 240.0 0.0230451099843395
pink2 0.048 0.004 233.0 240.0 0.0230451099843395
pink2 0.15 1e-05 114.0 240.0 0.005454899120013328
pink2 0.15 0.001508 158.0 240.0 0.005454899120013328
pink2 0.15 0.003005 225.0 240.0 0.005454899120013328
pink2 0.15 0.004502 238.0 240.0 0.005454899120013328
pink2 0.15 0.006 239.0 240.0 0.005454899120013328
pink2 0.95 1e-05 124.0 240.0 0.008853268437877003
pink2 0.95 0.002508 149.0 240.0 0.008853268437877003
pink2 0.95 0.005005 197.0 240.0 0.008853268437877003
pink2 0.95 0.007503 228.0 240.0 0.008853268437877003
pink2 0.95 0.01 237.0 240.0 0.008853268437877003
white 0.048 1e-05 116.0 240.0 0.007014780149983104
white 0.048 0.003757 131.0 240.0 0.007014780149983104
white 0.048 0.007505 197.0 240.0 0.007014780149983104
white 0.048 0.011252 237.0 240.0 0.007014780149983104
white 0.048 0.015 238.0 240.0 0.007014780149983104
white 0.15 1e-05 132.0 240.0 6.029657416933347e-08
white 0.15 0.003133 154.0 240.0 6.029657416933347e-08
white 0.15 0.006255 202.0 240.0 6.029657416933347e-08
white 0.15 0.009378 239.0 240.0 6.029657416933347e-08
white 0.15 0.0125 240.0 240.0 6.029657416933347e-08
white 0.95 1e-05 113.0 240.0 8.515816119459449e-08
white 0.95 0.003757 147.0 240.0 8.515816119459449e-08
white 0.95 0.007505 205.0 240.0 8.515816119459449e-08
white 0.95 0.011252 235.0 240.0 8.515816119459449e-08
white 0.95 0.015 240.0 240.0 8.515816119459449e-08
