trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	10	1	0	0.551540	0
1	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	9	1	1	0.109660	0
2	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	12	1	1	0.177230	0
3	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	14	1	1	0.157680	0
4	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	0	0	1	0.147770	0
5	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	15	1	0	0.158620	0
6	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	37	1	1	0.193950	0
7	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	26	1	1	0.187280	0
8	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	37	0	1	0.155010	0
9	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	22	1	0	0.119860	0
10	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	21	1	1	0.094040	0
11	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	18	1	1	0.120100	0
12	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	27	1	0	0.238460	0
13	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	36	0	1	0.148700	0
14	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	28	1	0	0.133040	0
15	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	34	1	0	0.136890	0
16	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	28	1	0	0.097720	0
17	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	14	1	1	0.103580	0
18	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	2	0	0	0.151760	0
19	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	20	1	1	0.158720	0
20	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	18	0	0	0.171190	0
21	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	11	0	1	0.160250	0
22	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	33	0	1	0.059090	0
23	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	1	5	1	1	0.120400	0
24	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	19	1	0	0.126970	0
25	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	8	1	1	0.084480	0
26	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	27	0	1	0.085850	0
27	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	15	1	1	0.155620	0
28	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	36	0	0	0.111690	0
29	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	22	1	1	0.174290	0
30	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	22	1	0	0.158090	0
31	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	23	0	1	0.125710	0
32	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	30	0	1	0.137470	0
33	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	17	1	1	0.194400	0
34	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	16	0	1	0.045510	0
35	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	0	0	0	0.139440	0
36	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	3	1	1	0.186780	0
37	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	13	1	1	0.116450	0
38	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	36	1	1	0.157130	0
39	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	2	0	0	0.079200	0
40	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	36	1	1	0.069920	0
41	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	35	1	1	0.280810	0
42	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	8	0	0	0.167200	0
43	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	0	1	1	0.045210	0
44	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	38	1	0	0.143930	0
45	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	20	0	1	0.067640	0
46	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	1	9	1	1	0.096370	0
47	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	25	1	1	0.091970	0
48	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	4	0	1	0.105680	0
49	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	18	1	1	0.110380	0
50	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	34	1	1	0.054610	0
51	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	14	1	0	0.113950	0
52	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	36	0	0	0.130790	0
53	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	38	1	1	0.084920	0
54	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	5	1	1	0.072190	0
55	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	29	0	1	0.097030	0
56	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	2	0	1	0.192660	0
57	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	1	1	1	0.047160	0
58	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	37	0	1	0.121820	0
59	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	0	1	1	0.075270	0
60	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	33	0	0	0.151490	0
61	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	16	0	1	0.113980	0
62	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	6	0	1	0.059450	1
63	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	3	1	1	0.079740	0
64	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	27	0	1	0.115560	0
65	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	37	1	0	0.054510	0
66	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	29	1	0	0.327050	0
67	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	12	0	1	0.199020	0
68	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	39	0	1	0.160230	0
69	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	31	1	1	0.197980	0
70	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	7	1	1	0.179470	0
71	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	19	1	1	0.433820	0
72	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	39	0	1	0.147790	0
73	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	27	0	1	0.081160	0
74	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	21	1	1	0.144390	0
75	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	8	0	1	0.041650	0
76	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	18	1	1	0.127010	0
77	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	8	1	0	0.147590	0
78	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	6	0	1	0.116150	0
79	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	20	1	1	0.153100	0
80	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	4	1	1	0.120230	0
81	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	26	1	0	0.185690	0
82	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	34	0	1	0.167020	0
83	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	6	1	1	0.060410	0
84	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	11	1	0	0.368480	0
85	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	24	1	0	1.140940	0
86	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	12	1	0	0.228900	0
87	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	33	1	1	0.173410	0
88	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	23	1	0	0.156270	0
89	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	21	1	1	0.181480	0
90	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	13	1	1	0.127050	0
91	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	10	1	1	0.452400	0
92	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	6	1	0	0.132210	0
93	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	10	1	1	0.076810	0
94	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	1	12	1	1	0.083250	0
95	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	1	0	0	0.120410	0
96	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	0	0	0	0.150730	0
97	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	10	1	0	0.103970	0
98	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	25	0	1	0.134080	0
99	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	4	1	1	0.096890	0
