trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	14	0	0	0.321480	0
1	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	30	0	1	0.309810	0
2	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	6	1	1	0.132180	0
3	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	3	0	1	0.141870	0
4	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	2	1	1	0.137440	0
5	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	35	1	0	0.203470	0
6	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	25	0	1	0.078030	0
7	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	12	0	0	0.286890	0
8	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	24	0	1	0.164390	0
9	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	1	0	1	0.173570	0
10	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	1	0	1	0.132030	0
11	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	28	1	1	0.298700	0
12	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	12	0	0	0.192110	0
13	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	24	1	1	0.228360	0
14	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	14	1	1	0.149810	0
15	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	4	0	1	0.098070	0
16	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	34	0	1	0.083210	0
17	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	3	0	1	0.283700	0
18	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	8	1	1	0.109870	0
19	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	18	1	1	0.242630	0
20	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	9	1	1	0.184860	0
21	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	15	1	1	0.484590	0
22	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	9	1	1	0.149420	0
23	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	4	1	1	0.105100	0
24	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	8	1	1	0.562230	0
25	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	34	1	1	0.171770	0
26	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	21	0	1	0.118060	0
27	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	37	1	1	0.158190	0
