trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	0	1	1	0.010750	0
1	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	34	1	1	0.057570	0
2	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	4	0	0	0.109550	0
3	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	3	0	1	0.251030	0
4	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	37	1	0	0.045830	0
5	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	30	1	1	0.023000	0
6	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	34	1	0	0.049260	0
7	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	28	1	0	0.038160	0
8	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	9	0	1	0.027410	0
9	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	30	0	1	0.129250	0
10	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	16	0	1	0.070160	0
11	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	27	0	0	0.020120	0
12	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	33	1	1	0.061420	0
13	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	5	0	1	0.074670	0
14	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	39	1	0	0.056610	0
15	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	0	0	1	0.041920	0
16	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	5	0	1	0.047940	0
17	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	16	0	0	0.735480	0
18	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	7	1	1	0.721830	0
19	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	36	0	1	0.098660	0
20	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	18	1	0	0.103560	0
21	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	1	25	1	1	0.092560	0
22	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	6	0	0	0.189070	0
23	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	1	0	0	0.111260	0
24	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	23	1	1	0.068280	0
25	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	25	0	1	0.867410	0
26	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	14	0	1	0.574570	0
27	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	33	1	1	0.185200	0
28	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	2	0	1	0.079490	0
29	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	27	0	1	0.114200	0
30	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	19	0	1	0.233870	0
31	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	11	1	1	0.119650	0
32	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	23	0	1	0.111660	0
33	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	1	1	1	0.179220	0
34	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	10	0	1	0.072970	0
35	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	3	0	1	0.145570	0
36	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	12	1	1	0.096820	0
37	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	0	0	1	0.087900	0
38	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	36	0	1	0.032640	0
39	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	26	0	1	0.059830	0
40	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	16	0	0	0.106020	0
41	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	29	0	1	0.094680	0
42	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	19	0	0	0.141290	0
43	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	6	0	1	0.141370	0
44	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	23	0	1	0.090960	0
45	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	13	0	1	0.102580	0
46	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	39	1	1	0.120280	0
47	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	32	0	1	0.002580	0
48	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	18	0	1	0.038280	0
49	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	31	0	1	0.169570	0
50	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	24	1	0	0.122520	0
51	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	0	0	0	0.071810	0
52	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	14	0	1	0.062350	1
53	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	13	1	0	0.051050	0
54	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	16	1	1	0.094690	0
55	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	37	0	1	0.304760	0
56	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	37	0	1	0.056270	0
57	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	11	1	1	0.094810	0
58	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	29	1	0	0.165970	0
59	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	15	1	1	0.080150	0
60	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	13	1	1	0.081910	0
61	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	0	1	0	0.116660	0
62	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	11	1	1	0.166090	0
63	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	22	0	1	0.201640	0
64	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	39	1	1	0.277060	0
65	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	29	0	0	0.100400	0
66	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	25	1	0	0.114000	0
67	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	5	0	0	0.066930	0
68	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	1	0	1	0.120070	0
69	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	37	0	1	0.154200	0
70	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	27	1	1	0.074150	0
71	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	1	32	1	1	0.114720	0
72	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	31	1	0	0.173960	0
73	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	12	0	1	0.411440	0
74	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	34	0	1	0.086430	0
75	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	5	1	0	0.617340	0
76	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	8	0	0	0.119400	0
77	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	8	0	1	0.099330	0
78	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	29	0	1	0.266330	0
79	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	3	0	0	0.247060	0
80	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	23	0	1	0.216960	0
81	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	36	1	1	0.129130	0
82	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	20	1	0	0.213720	0
83	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	2	1	1	0.255770	0
84	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	34	1	1	0.356520	0
85	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	38	1	0	0.197390	0
86	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	27	0	0	0.181150	0
87	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	10	0	1	0.088810	0
88	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	35	0	1	0.105000	0
89	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	32	1	1	0.211800	0
90	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	11	0	0	0.127170	0
91	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	3	1	0	0.139960	0
92	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	4	0	1	0.132250	0
93	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	28	0	1	0.146220	0
94	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	23	0	1	0.190710	0
95	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	30	0	0	0.107210	0
96	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	4	0	0	0.121510	0
97	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	36	1	1	0.161260	0
98	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	1	20	1	1	0.151840	0
99	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	3	0	1	0.216780	0
