trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	23	0	0	0.195050	0
1	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	0	1	0	1	0.120700	0
2	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	3	1	0	0.142740	0
3	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	1	39	0	0	0.094050	0
4	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	32	0	0	0.066990	0
5	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	0	28	0	1	0.040340	0
6	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	1	25	1	1	0.090050	0
7	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	0	0	0	1	0.152730	0
8	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	1	38	1	1	0.044670	0
9	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	35	0	0	0.125980	0
10	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	39	1	1	0.097040	0
11	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	0	31	1	0	0.174760	0
12	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	35	0	1	0.020160	0
13	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	0	1	0	1	0.142320	0
14	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	0	11	0	1	0.075640	0
15	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	0	23	0	1	0.139500	0
16	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	1	22	1	1	0.047380	0
17	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	1	21	1	1	0.796570	0
18	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	0	21	0	1	0.048490	0
19	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	1	2	1	1	0.048330	0
20	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	1	30	1	1	0.070790	0
21	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	0	11	0	1	0.077540	0
22	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	0	10	0	1	0.106250	0
23	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	0	0	0	1	0.836680	0
24	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	34	0	0	0.175170	0
25	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	1	34	1	1	0.025720	0
26	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	1	8	1	1	0.029210	0
27	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	16	0	1	0.087180	0
28	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	0	1	0	1	0.058640	0
29	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	0	34	0	1	0.050780	0
30	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	1	14	1	1	0.073410	0
31	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	1	16	1	1	0.067960	0
32	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	1	15	1	1	0.042990	0
33	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	1	28	1	1	0.046310	0
34	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	30	0	1	0.105350	0
35	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	0	32	0	1	0.052680	0
36	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	0	3	0	1	0.049580	0
37	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	1	33	1	1	0.045150	0
38	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	0	9	0	1	0.103670	0
39	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	1	0	1	1	0.207800	0
