trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	1	29	1	1	0.042050	0
1	white	0.200000	0.012500	0.150000	100.000000	0.200000	0	0	30	0	1	0.038270	0
2	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	1	13	1	1	0.335210	0
3	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	1	31	1	1	0.080570	0
4	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	0	26	0	1	0.080310	0
5	white	0.200000	0.009378	0.150000	100.000000	0.200000	0	0	27	0	1	0.089350	0
6	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	28	1	0	0.105190	0
7	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	0	12	0	1	0.034080	0
8	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	1	25	1	1	0.021630	0
9	white	0.200000	0.009378	0.150000	100.000000	0.200000	0	0	8	0	1	0.034770	0
10	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	1	34	1	1	0.006960	0
11	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	1	10	1	1	0.043190	0
12	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	0	14	0	1	0.018760	0
13	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	1	24	1	1	0.876200	0
14	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	1	24	0	0	0.202820	0
15	white	0.200000	0.012500	0.150000	100.000000	0.200000	0	0	30	0	1	0.005270	0
16	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	1	5	1	1	0.018930	0
17	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	0	29	0	1	1.283540	0
18	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	0	32	0	1	0.169960	0
19	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	0	21	0	1	0.089190	0
20	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	38	0	1	0.232690	0
21	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	0	14	0	1	0.168370	0
22	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	0	23	0	1	0.164150	0
23	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	7	1	1	0.332190	0
24	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	26	1	1	0.207710	0
25	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	1	6	0	0	0.140040	0
26	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	1	15	0	0	0.272560	0
27	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	0	32	0	1	0.232430	0
28	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	0	10	0	1	0.152390	0
29	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	0	5	0	1	0.168020	0
30	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	1	19	0	0	0.159420	0
31	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	35	1	0	0.219930	0
32	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	1	31	0	0	0.102050	0
33	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	0	2	0	1	0.188990	0
34	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	1	39	0	0	0.240000	0
35	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	1	29	1	1	0.077760	0
36	white	0.200000	0.009378	0.150000	100.000000	0.200000	0	0	23	0	1	0.111420	0
37	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	27	0	0	0.225080	0
