trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.020000	0.950000	100.000000	0.500000	1	1	9	0	0	0.123430	0
1	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.500000	1	1	23	1	1	1.066370	0
2	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	0	1	15	1	1	0.027570	0
3	white	0.200000	0.030000	0.048000	100.000000	0.500000	1	0	25	0	1	0.754960	0
4	pink1	0.200000	0.030000	0.150000	100.000000	0.500000	0	0	23	0	1	0.177590	0
5	white	0.200000	0.020000	0.150000	100.000000	0.500000	1	0	4	0	1	0.100790	0
6	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	1	1	31	1	1	0.297330	0
7	none	0.200000	0.010000	0.950000	100.000000	0.500000	0	0	25	0	1	0.050480	0
8	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	1	1	36	1	1	0.330860	0
9	white	0.200000	0.020000	0.950000	100.000000	0.500000	0	1	14	1	1	0.027200	0
10	pink2	0.200000	0.015000	0.150000	100.000000	0.500000	1	1	20	1	1	0.433650	0
11	pink1	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	31	1	1	0.206710	0
12	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	0	1	24	1	1	0.198320	0
13	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	1	0	18	0	1	0.274120	0
14	white	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	12	1	1	0.154480	0
15	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	0	15	0	1	0.388550	0
16	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	21	1	1	0.191360	0
17	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	0	39	0	1	0.151800	0
18	white	0.200000	0.020000	0.150000	100.000000	0.200000	0	1	16	1	1	0.180550	0
19	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	5	0	1	0.077920	0
20	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	0	4	0	1	0.109980	0
21	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	31	0	1	0.143490	0
22	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	29	1	1	0.084490	0
23	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	2	0	1	0.117840	0
24	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	12	0	1	0.168490	0
25	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	39	1	1	0.324850	0
26	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	1	0	35	0	1	0.109420	0
27	none	0.200000	0.010000	0.150000	100.000000	0.200000	1	1	39	1	1	0.083890	0
28	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	11	1	1	0.115330	0
29	narrow9	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	35	0	1	0.095710	0
30	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	0	0	5	0	1	0.106040	0
31	white	0.200000	0.020000	0.950000	100.000000	0.200000	1	0	18	0	1	0.077420	0
32	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	0	1	27	1	1	0.042050	0
33	none	0.200000	0.010000	0.950000	100.000000	0.200000	1	0	39	0	1	0.045880	0
34	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	24	0	1	0.083170	0
35	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	1	0	2	0	1	0.051720	0
36	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	0	1	16	1	1	0.070440	0
37	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	1	6	1	1	0.054090	0
38	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	29	1	1	0.058480	0
39	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	1	35	1	1	0.074130	0
40	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	1	1	4	1	1	0.041930	0
41	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	1	1	7	1	1	0.058210	0
42	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	25	0	1	-0.000070	0
43	white	0.200000	0.030000	0.048000	100.000000	0.200000	0	0	19	0	1	0.063180	0
44	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	35	0	1	0.021140	0
45	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	1	39	1	1	0.037130	0
46	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	0	1	16	1	1	0.046890	0
47	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	14	0	1	0.070360	0
48	none	0.200000	0.010000	0.048000	100.000000	0.200000	1	0	10	0	1	0.062320	0
49	none	0.200000	0.010000	0.048000	100.000000	0.200000	1	0	27	0	1	0.078350	0
50	none	0.200000	0.010000	0.048000	100.000000	0.200000	0	1	18	1	1	0.024750	0
51	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	9	0	1	0.064090	0
52	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	16	0	1	0.060000	0
53	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	24	1	1	0.032390	0
54	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	30	1	1	0.098410	0
55	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	9	0	1	0.025210	0
56	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	1	14	1	1	0.056390	0
57	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	5	0	1	0.042970	0
58	white	0.200000	0.020000	0.950000	100.000000	0.200000	1	0	34	0	1	0.075000	0
59	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	17	1	1	0.019300	0
trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.020000	0.950000	100.000000	0.500000	0	0	36	0	1	0.204520	0
1	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.500000	0	1	8	1	1	0.053930	0
2	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	1	0	23	0	1	0.093900	0
3	white	0.200000	0.030000	0.048000	100.000000	0.500000	1	0	25	0	1	0.097560	0
4	pink1	0.200000	0.030000	0.150000	100.000000	0.500000	1	0	31	0	1	0.074630	0
5	white	0.200000	0.020000	0.150000	100.000000	0.500000	0	1	36	1	1	0.175620	0
6	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	1	0	23	0	1	0.075050	0
7	none	0.200000	0.010000	0.950000	100.000000	0.500000	0	1	9	1	1	0.044240	0
8	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	1	0	38	0	1	0.115960	0
9	white	0.200000	0.020000	0.950000	100.000000	0.500000	0	1	29	1	1	0.028970	0
10	pink2	0.200000	0.015000	0.150000	100.000000	0.500000	1	0	9	0	1	0.087450	0
11	pink1	0.200000	0.030000	0.048000	100.000000	0.500000	1	1	20	1	1	0.042450	0
12	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	0	0	39	0	1	0.101800	0
13	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	1	1	12	1	1	0.457420	0
14	white	0.200000	0.030000	0.048000	100.000000	0.500000	1	0	34	0	1	0.175920	0
15	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	0	1	28	1	1	0.370820	0
16	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	29	1	1	0.306220	0
17	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	0	1	0	1	0.315360	0
18	white	0.200000	0.020000	0.150000	100.000000	0.200000	0	1	4	1	1	0.327750	0
19	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	11	1	1	0.321160	0
20	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	1	0	19	0	1	0.248370	0
21	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	15	1	1	0.293120	0
22	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	23	0	1	0.279750	0
23	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	24	1	1	0.241340	0
24	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	32	0	1	0.253230	0
25	white	0.200000	0.020000	0.950000	100.000000	0.200000	1	0	20	0	1	0.252510	0
26	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	23	1	1	0.208450	0
27	none	0.200000	0.010000	0.150000	100.000000	0.200000	0	0	24	0	1	0.239820	0
28	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	0	1	1	0.197550	0
29	narrow9	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	6	1	1	0.232360	0
30	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	0	0	19	0	1	0.154990	0
31	white	0.200000	0.020000	0.950000	100.000000	0.200000	1	1	3	1	1	0.168750	0
32	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	0	1	18	1	1	0.171270	0
33	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	1	27	1	1	0.133680	0
34	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	19	1	1	0.158950	0
35	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	1	0	1	0	1	0.169760	0
36	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	1	0	9	0	1	0.108110	0
37	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	1	33	1	1	0.169610	0
38	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	27	1	1	0.167840	0
39	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	0	18	0	1	0.191840	0
40	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	1	1	34	1	1	0.151530	0
41	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	0	25	0	1	0.175650	0
42	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	31	0	1	0.151650	0
43	white	0.200000	0.030000	0.048000	100.000000	0.200000	0	0	24	0	1	0.181900	0
44	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	25	1	1	0.139050	0
45	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	1	0	36	0	1	0.160710	0
46	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	1	1	1	0.174640	0
47	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	26	1	1	0.187470	0
48	none	0.200000	0.010000	0.048000	100.000000	0.200000	0	1	8	1	1	0.142140	0
49	none	0.200000	0.010000	0.048000	100.000000	0.200000	0	1	20	1	1	0.200570	0
50	none	0.200000	0.010000	0.048000	100.000000	0.200000	1	0	2	0	1	0.192520	0
51	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	39	1	1	0.155320	0
52	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	5	0	1	0.223590	0
53	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	22	0	1	0.192920	0
54	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	33	1	1	0.138380	0
55	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	37	0	1	0.158070	0
56	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	1	4	1	1	0.144330	0
57	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	25	0	1	0.107130	0
58	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	31	1	1	0.115150	0
59	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	10	1	1	0.078980	0
