trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	23	0	1	0.015090	0
1	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	23	1	0	0.117010	0
2	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	37	1	0	0.102050	0
3	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	33	0	1	0.045460	0
4	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	8	1	1	0.088810	0
5	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	11	1	0	0.086630	0
6	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	8	1	1	0.065320	0
7	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	25	1	0	0.041230	0
8	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	12	1	0	0.075280	0
9	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	14	1	1	0.049290	0
10	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	14	1	1	0.024010	0
11	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	26	1	1	0.063950	0
12	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	29	0	0	0.061290	0
13	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	21	0	1	0.071180	0
14	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	15	0	1	0.141490	0
15	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	30	1	1	0.060590	0
16	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	12	1	1	0.104440	0
17	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	1	38	1	1	0.066870	0
18	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	38	1	1	0.023460	0
19	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	6	1	0	0.047250	0
20	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	25	1	1	0.048520	0
21	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	0	1	0	0.059190	0
22	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	35	0	0	0.073990	0
23	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	34	0	1	0.101720	0
24	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	14	0	1	0.044000	0
25	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	0	1	0	0.055770	0
26	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	38	0	1	0.186920	0
27	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	3	1	0	0.066480	0
28	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	2	1	1	0.080680	0
29	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	29	1	1	0.026950	0
30	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	3	1	1	0.121940	0
31	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	32	1	1	0.056200	0
32	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	16	0	0	0.146760	0
33	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	1	39	1	1	0.048170	0
34	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	30	0	1	-0.001050	0
35	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	5	1	0	0.056900	0
36	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	0	0	1	0.063420	0
37	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	16	1	0	0.854420	0
38	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	9	0	1	0.021970	0
39	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	28	1	1	0.056440	0
40	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	3	1	1	0.102710	0
41	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	15	0	1	0.095650	0
42	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	24	1	1	0.095680	0
43	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	3	0	1	0.066050	0
44	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	30	1	1	0.075840	0
45	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	16	0	0	0.064770	0
46	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	32	1	1	0.082040	0
47	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	35	1	0	0.063470	0
48	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	32	0	1	0.049630	0
49	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	29	1	1	0.117700	0
50	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	32	1	1	0.063950	0
51	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	28	0	1	0.085450	0
52	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	2	0	1	0.069700	0
53	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	4	1	0	0.108220	0
54	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	3	0	1	0.043020	0
55	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	29	1	1	0.065120	0
56	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	19	0	1	0.090600	0
57	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	35	1	0	0.098610	0
58	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	13	0	0	0.126810	0
59	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	34	0	0	0.088720	0
60	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	13	1	0	0.273230	0
61	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	12	1	1	0.108070	0
62	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	17	1	0	0.109740	0
63	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	19	1	0	0.057730	0
64	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	20	1	0	0.062550	0
65	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	22	1	1	0.172100	0
66	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	28	1	0	0.101280	0
67	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	14	1	1	0.091290	0
68	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	39	0	1	0.029430	0
69	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	28	1	1	0.085140	0
70	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	13	0	1	0.105930	0
71	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	1	6	1	1	0.070380	0
72	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	25	0	1	0.072640	0
73	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	36	0	1	0.114280	0
74	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	37	1	0	0.085350	0
75	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	0	0	0	0.072710	0
76	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	20	0	1	0.046530	0
77	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	8	1	1	0.058840	0
78	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	21	0	1	0.064070	0
79	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	21	1	0	0.081570	0
80	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	22	1	1	0.096220	0
81	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	35	0	1	0.080690	0
82	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	11	1	0	0.060260	0
83	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	9	0	1	0.088470	0
84	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	12	1	1	0.085480	0
85	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	23	0	1	0.039950	0
