trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	25	0	1	0.060350	0
1	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	20	0	1	0.150880	0
2	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	14	0	1	0.148280	0
3	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	25	0	0	0.145420	0
4	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	31	1	1	0.108220	0
5	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	11	1	0	0.098900	0
6	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	29	1	1	0.143920	0
7	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	29	0	0	0.090180	0
8	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	27	1	1	0.190440	0
9	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	36	1	1	0.159920	0
10	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	16	0	1	0.065570	0
11	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	3	0	1	0.063990	0
12	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	20	0	1	0.081250	0
13	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	0	1	1	0.063840	0
14	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	21	0	1	0.027170	0
15	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	0	1	1	1.169830	0
16	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	14	0	1	0.088620	0
17	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	6	1	1	0.109520	0
18	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	13	0	0	0.166990	0
19	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	23	1	1	0.063620	0
20	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	1	27	1	1	0.094360	0
21	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	36	0	1	0.059250	0
22	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	3	1	0	0.131510	0
23	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	36	1	0	0.254120	0
24	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	17	1	1	0.142880	0
25	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	20	1	1	0.084560	0
26	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	39	1	0	0.070250	0
27	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	0	0	0	0.203150	0
28	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	4	0	1	0.103690	0
29	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	39	1	1	0.090380	0
30	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	2	1	1	0.112030	0
31	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	18	0	0	0.162950	0
32	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	12	0	1	0.154870	0
33	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	31	1	0	0.111220	0
34	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	18	1	1	0.033850	0
35	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	32	1	1	0.020690	0
36	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	23	1	1	0.072520	0
