trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	8	1	0	0.077460	0
1	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	18	0	1	0.128390	0
2	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	7	0	1	0.119720	0
3	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	32	1	1	0.072870	1
4	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	5	0	1	0.064400	0
5	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	7	0	1	0.056300	0
6	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	8	0	0	0.073520	0
7	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	35	1	1	0.039540	0
8	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	4	1	1	0.037800	0
9	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	37	1	1	0.088270	0
10	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	8	0	1	0.039070	0
11	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	13	0	1	0.131420	0
12	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	4	1	1	0.057500	0
13	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	2	1	1	0.084490	0
14	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	18	1	0	0.068850	0
15	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	25	0	1	0.083420	0
16	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	26	1	1	-0.001870	0
17	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	3	0	1	0.037190	0
18	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	21	1	1	0.054640	0
19	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	1	21	1	1	0.065690	0
20	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	17	1	1	0.078340	0
21	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	33	0	1	0.040390	0
22	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	8	1	1	0.075640	0
23	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	29	0	1	0.076850	0
24	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	19	1	0	0.071990	0
25	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	37	0	0	0.063400	0
26	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	23	1	1	0.093060	0
27	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	18	1	0	0.098390	0
28	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	25	1	0	0.076280	0
29	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	19	0	0	0.102060	0
30	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	4	1	1	0.048610	0
31	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	37	1	0	0.084410	0
32	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	34	0	1	0.112560	0
33	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	16	1	1	0.071530	0
34	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	20	0	1	0.047530	0
35	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	2	1	0	0.075550	0
36	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	15	0	0	0.076530	0
37	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	32	1	1	0.020270	0
38	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	10	0	1	0.058020	0
39	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	6	1	0	0.083850	0
40	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	23	0	0	0.719240	0
41	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	5	0	1	0.308610	0
42	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	31	1	0	0.084230	0
43	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	33	0	1	0.068530	0
44	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	31	0	1	0.113330	0
45	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	22	0	1	0.114210	0
46	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	14	1	1	0.084430	0
47	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	1	33	0	0	0.055880	0
48	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	11	1	1	0.021520	0
49	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	20	0	1	0.877470	0
50	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	17	1	1	0.054140	0
51	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	9	1	1	0.088320	0
52	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	36	1	1	0.069470	0
53	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	11	0	0	0.103430	0
54	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	5	0	1	0.064930	0
55	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	6	1	1	0.130790	0
56	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	1	9	0	0	0.159030	0
57	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	8	1	0	0.114830	0
58	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	15	1	1	0.099060	0
59	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	7	0	1	0.124760	0
60	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	24	0	0	0.122570	0
61	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	19	0	1	0.108200	0
62	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	38	0	0	0.138800	0
63	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	22	1	1	0.067690	0
64	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	1	21	1	1	0.066870	0
65	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	1	0	1	0.065630	0
66	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	1	0	0	0.082170	0
67	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	29	1	1	0.073210	0
68	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	5	0	1	0.073120	0
69	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	2	0	1	0.090220	0
70	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	5	1	1	0.140380	0
71	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	19	0	1	0.083520	0
72	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	28	1	1	0.065460	0
73	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	2	0	1	0.082540	0
74	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	12	0	1	0.079770	0
75	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	31	1	1	0.053940	0
76	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	6	1	0	0.080880	0
77	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	13	1	1	0.088500	0
78	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	38	1	1	0.063120	0
79	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	15	1	0	0.106300	0
80	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	16	0	0	0.099620	0
81	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	2	1	1	0.070950	0
82	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	17	1	0	0.040340	0
83	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	35	0	0	0.082080	0
84	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	14	1	0	0.083550	0
85	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	39	0	1	0.100730	0
