trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	8	1	0	0.375820	0
1	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	14	0	1	-0.001830	0
2	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	32	0	1	0.056090	0
3	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	22	1	1	0.140650	0
4	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	28	0	1	0.049530	0
5	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	2	1	1	0.061910	0
6	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	39	1	0	0.082700	0
7	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	38	1	1	0.055520	0
8	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	28	1	1	0.075190	0
9	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	14	1	0	0.081220	0
10	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	25	0	0	0.106630	0
11	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	0	0	1	0.036260	0
12	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	25	1	1	0.059980	0
13	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	19	0	1	0.024290	0
14	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	22	0	1	0.078580	0
15	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	34	0	0	0.109640	0
16	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	15	0	1	0.072050	0
17	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	16	1	0	0.066070	0
18	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	28	0	1	0.122730	0
19	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	36	0	1	0.088230	0
20	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	30	0	1	0.067160	0
21	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	19	1	0	0.037350	0
22	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	19	0	1	0.048180	0
23	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	13	0	1	0.075720	0
24	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	29	0	0	0.085970	0
25	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	35	1	1	0.034370	0
26	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	4	1	0	0.060480	0
27	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	11	0	1	0.040000	0
28	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	5	0	1	0.013500	0
29	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	25	0	1	0.027710	0
30	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	3	0	1	0.017140	0
31	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	2	1	0	0.064940	0
32	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	1	0	1	0.054840	0
33	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	39	0	1	0.059590	0
34	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	4	0	1	0.045730	0
35	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	17	0	0	0.075350	0
36	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	2	1	1	0.083080	0
37	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	26	1	1	0.100260	0
38	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	10	0	1	0.076870	0
39	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	12	1	0	0.093890	0
40	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	6	0	1	0.047910	0
41	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	9	1	1	0.087640	0
42	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	14	0	0	0.080710	0
43	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	12	0	1	0.069540	0
44	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	1	0	0	0.065090	0
45	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	10	0	1	0.044440	0
46	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	25	1	1	0.075070	0
47	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	29	0	1	0.068370	0
48	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	26	0	1	0.083680	0
49	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	8	0	1	0.199170	0
50	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	38	0	1	0.048910	0
51	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	1	20	1	1	0.052880	0
52	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	15	1	0	0.107780	0
53	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	37	1	0	0.095190	0
54	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	26	0	0	0.061450	0
55	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	36	1	1	0.114880	0
56	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	12	1	0	0.077160	0
57	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	18	1	1	0.056360	0
58	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	24	1	1	0.051940	0
59	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	25	1	1	0.082870	0
60	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	35	0	1	0.060990	0
61	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	17	0	1	0.067330	0
62	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	0	1	1	0.021690	0
63	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	14	0	1	0.038750	0
64	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	22	0	1	0.061010	0
65	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	11	0	1	0.039250	0
66	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	38	0	1	0.048570	0
67	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	35	1	0	0.104460	0
68	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	14	1	0	0.035920	0
69	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	6	1	1	0.047660	0
70	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	28	0	1	0.067020	0
71	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	31	0	0	0.072670	0
72	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	16	1	1	0.046750	0
73	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	33	0	1	0.026810	0
74	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	18	1	1	0.099090	0
75	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	32	0	1	0.708250	0
76	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	39	1	1	0.021100	0
77	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	6	0	0	0.097530	0
78	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	16	1	1	0.012030	0
79	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	1	7	1	1	0.032430	0
80	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	29	1	1	0.854720	0
81	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	36	0	1	0.089850	0
82	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	22	0	1	0.097190	0
83	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	32	0	1	0.329890	0
84	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	29	1	1	0.047110	0
85	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	9	1	1	0.102470	0
86	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	4	0	1	0.095900	0
87	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	39	0	1	0.047340	0
88	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	4	0	1	0.094370	0
89	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	22	1	1	0.115490	0
90	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	15	0	1	0.126140	0
91	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	4	1	0	0.146760	0
92	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	17	0	1	0.114340	0
93	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	3	1	1	0.074350	0
94	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	1	5	1	1	0.082440	0
95	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	6	0	1	0.150110	0
96	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	30	1	1	0.028590	0
97	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	37	0	0	0.062740	0
98	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	1	0	1	0.025540	0
99	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	5	0	1	0.034390	0
