trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	19	1	1	0.078540	0
1	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	0	20	0	1	0.090750	0
2	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	1	18	1	1	0.092420	0
3	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	3	0	0	0.136120	0
4	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	28	1	0	0.081000	0
5	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	37	0	1	0.125960	0
6	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	8	0	1	0.182450	0
7	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	28	1	1	0.034690	0
8	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	19	0	1	0.181980	0
9	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	39	0	1	0.135360	0
10	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	1	24	0	0	0.109390	0
11	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	0	7	0	1	0.114000	0
12	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	0	11	0	1	0.068800	0
13	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	28	0	1	0.075730	0
14	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	0	5	0	1	0.046500	0
15	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	3	0	1	0.074030	0
16	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	2	0	1	0.080250	0
17	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	25	0	1	0.101450	0
18	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	35	1	1	0.077450	0
19	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	15	0	1	0.115720	0
20	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	0	34	0	1	0.104220	0
21	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	31	0	1	0.131550	0
22	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	22	0	1	0.100910	0
23	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	27	1	1	0.132170	0
24	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	1	22	0	0	0.069860	0
25	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	1	27	1	1	0.069460	0
26	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	1	0	0	0.128420	0
27	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	1	23	1	1	0.114920	0
28	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	0	0	1	0	0.157940	0
29	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	36	1	1	0.074040	0
30	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	1	26	0	0	0.116460	0
31	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	8	0	0	0.905510	0
32	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	30	0	1	0.208650	0
33	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	1	32	1	1	0.156240	0
34	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	16	1	1	0.115080	0
35	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	11	0	1	0.143890	0
36	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	0	18	0	1	0.094190	0
37	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	0	17	1	0	0.115920	0
38	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	0	33	0	1	0.129130	0
39	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	0	10	0	1	0.096920	0
40	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	1	36	1	1	0.091990	0
41	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	1	14	0	0	0.325870	0
42	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	1	1	1	0.076600	0
43	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	1	31	1	1	0.085130	0
44	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	36	1	1	0.105890	0
45	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	0	27	0	1	0.140610	0
46	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	1	21	1	1	0.107220	0
47	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	5	1	0	0.187500	0
48	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	29	1	0	0.168760	0
