trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.010000	0.150000	100.000000	0.500000	0	0	39	0	1	0.124010	0
1	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	1	1	16	1	1	0.040650	0
2	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	1	0	19	0	1	0.040080	0
3	pink2	0.200000	0.020000	0.950000	100.000000	0.500000	0	0	30	0	1	0.092270	0
4	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.500000	1	1	16	1	1	0.038310	0
5	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.500000	1	1	19	1	1	0.062410	0
6	none	0.200000	0.010000	0.950000	100.000000	0.500000	1	1	34	1	1	0.084040	0
7	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	0	1	34	1	1	0.049750	0
8	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	1	0	7	0	1	0.071630	0
9	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	0	1	7	1	1	0.001720	0
10	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.500000	0	0	28	0	1	0.040950	0
11	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	0	1	13	1	1	0.367970	0
12	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	1	0	14	0	1	0.169970	0
13	white	0.200000	0.030000	0.048000	100.000000	0.500000	1	1	12	1	1	0.098980	0
14	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.500000	1	0	4	0	1	0.087470	0
15	none	0.200000	0.010000	0.048000	100.000000	0.200000	1	1	24	1	1	0.189210	0
16	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	12	1	1	0.134130	0
17	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	24	1	1	0.139250	0
18	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	19	0	1	0.109720	0
19	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	33	1	1	0.108540	0
20	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	0	0	9	0	1	0.099000	0
21	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	0	0	1	0.179810	0
22	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	13	1	1	0.149800	0
23	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	12	1	1	0.118180	0
24	none	0.200000	0.010000	0.048000	100.000000	0.200000	1	0	32	0	1	0.082450	0
25	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	38	1	1	0.078080	0
26	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	0	20	0	1	0.107900	0
27	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	1	36	1	1	0.087670	0
28	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	1	0	18	0	1	0.063600	0
