trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	18	0	0	0.100900	0
1	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	7	1	0	0.100220	0
2	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	19	1	1	0.095310	0
3	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	13	1	0	0.117520	0
4	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	8	1	1	0.225310	0
5	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	30	1	0	0.615250	0
6	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	3	0	0	0.143160	0
7	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	29	0	1	0.175170	0
8	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	24	1	1	0.123530	0
9	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	21	1	1	0.113630	0
10	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	35	1	0	0.335660	0
11	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	18	0	1	0.120800	0
12	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	14	0	1	0.187730	0
13	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	12	0	1	0.220080	0
14	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	10	0	1	0.077650	0
15	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	19	1	1	0.377090	0
16	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	26	0	1	0.177210	0
17	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	12	0	1	0.103310	0
18	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	29	0	1	0.176200	0
19	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	2	1	1	0.058190	0
