trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	34	0	0	0.354320	0
1	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	38	0	0	0.434980	0
2	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	9	0	0	0.379560	0
3	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	24	1	1	0.253390	0
4	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	39	0	1	0.351790	0
5	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	31	0	0	0.382900	0
6	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	25	0	1	0.199070	0
7	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	33	1	1	0.245600	0
8	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	17	0	1	0.168900	0
9	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	34	0	1	0.159290	0
10	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	18	0	1	0.185390	0
11	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	0	0	1	0.202330	0
12	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	13	0	1	0.175850	0
13	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	14	0	1	0.210060	0
14	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	11	1	0	0.199340	0
15	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	19	0	1	0.205960	0
16	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	21	0	0	0.220850	0
17	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	34	0	0	0.212560	0
18	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	27	1	1	0.097090	0
19	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	0	0	1	0.173510	0
20	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	6	0	1	0.335520	0
21	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	15	1	1	0.199020	0
22	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	9	1	1	0.186570	0
23	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	29	1	1	0.371850	0
24	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	19	1	1	0.235420	0
25	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	24	1	1	0.175500	0
26	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	9	0	1	0.053960	0
27	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	30	0	1	0.167030	0
28	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	29	0	1	0.094340	0
29	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	7	1	1	0.118520	0
30	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	6	0	0	0.266200	0
31	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	28	1	1	0.096220	0
32	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	28	1	1	0.151950	0
33	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	27	1	1	0.151980	0
34	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	6	1	1	0.149970	0
35	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	10	0	1	0.124960	0
36	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	1	35	1	1	0.135290	0
37	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	22	1	0	0.207190	0
38	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	3	1	0	0.155710	0
39	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	33	0	1	0.135150	0
40	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	18	0	0	0.226810	0
41	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	1	0	0	0.189570	0
42	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	39	1	1	0.086420	0
43	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	38	1	1	0.166790	0
44	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	1	10	1	1	0.089170	0
45	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	25	1	1	0.287140	0
46	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	22	1	1	0.154290	0
47	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	18	0	1	0.138250	0
48	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	8	0	1	0.128460	0
49	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	1	5	1	1	0.188060	0
50	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	9	0	1	0.175780	0
51	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	38	1	1	0.102750	0
52	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	9	0	1	0.170060	0
53	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	14	1	1	0.243780	0
54	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	22	0	1	0.100100	0
55	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	37	1	1	0.099460	0
56	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	27	1	1	0.112600	0
57	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	35	0	1	0.122690	0
58	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	19	1	1	0.129820	0
59	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	26	1	0	0.258450	0
60	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	39	1	1	0.138120	0
61	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	22	0	1	0.290220	0
62	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	1	0	0	0.371010	0
63	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	29	0	1	0.177460	0
64	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	2	1	1	0.114800	0
65	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	35	1	1	0.133940	0
66	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	25	1	1	0.097060	0
67	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	29	1	1	0.085330	0
68	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	27	0	1	0.190620	0
69	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	32	1	0	0.156920	0
70	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	23	0	1	0.192970	0
71	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	9	0	1	0.073740	0
72	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	18	1	1	0.090620	0
73	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	14	1	1	0.481260	0
74	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	16	0	1	0.361210	0
75	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	15	1	1	0.133730	0
76	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	22	0	1	0.123720	0
77	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	5	0	0	0.532490	0
78	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	30	1	0	0.329370	0
79	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	7	0	1	0.093140	0
80	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	3	1	1	0.125700	0
81	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	32	1	1	0.233930	0
82	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	8	0	0	0.309240	0
