trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	1	39	1	1	0.327030	0
1	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	1	7	1	1	0.874780	0
2	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	24	0	1	0.768110	0
3	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	35	0	1	0.435110	0
4	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	22	0	1	0.300070	0
5	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	1	24	1	1	0.291840	0
6	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	35	0	0	0.685950	0
7	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	25	0	1	0.207600	0
8	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	33	0	0	0.818500	0
9	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	1	27	1	1	0.200970	0
10	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	25	1	0	0.778000	0
11	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	0	25	1	0	0.530910	0
12	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	1	31	1	1	0.330970	0
13	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	0	8	0	1	0.204990	0
14	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	1	35	1	1	0.224730	0
15	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	9	1	1	0.155820	0
16	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	0	12	0	1	0.306480	0
17	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	17	0	0	0.176670	0
18	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	1	19	1	1	0.131960	0
19	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	0	30	1	0	0.170310	0
20	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	11	1	1	0.231910	0
21	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	1	1	0	0.262370	0
22	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	8	1	1	0.271680	0
23	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	0	16	1	0	0.246180	0
24	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	33	1	1	0.302940	0
25	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	0	9	0	1	0.158240	1
26	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	0	7	0	1	0.126560	0
27	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	0	9	0	1	0.322160	0
28	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	1	19	1	1	0.148310	0
29	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	38	1	0	0.150510	0
30	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	1	33	1	1	0.160860	0
31	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	25	1	1	0.170530	0
32	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	1	11	1	1	0.286560	0
33	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	0	38	1	0	0.282470	0
34	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	0	24	1	0	0.379820	0
35	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	0	24	0	1	0.280060	0
36	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	0	2	1	0	0.896130	0
37	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	0	0	1	0	0.172540	0
38	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	29	1	1	0.313330	0
39	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	0	0	0	1	0.192170	0
40	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	20	1	1	0.953710	0
41	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	1	28	1	1	0.157640	0
42	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	1	18	1	1	0.176050	0
43	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	0	31	0	1	0.325020	0
44	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	0	4	0	1	0.162740	0
45	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	0	21	0	1	0.297820	0
46	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	0	2	1	0	0.191650	0
47	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	0	22	0	1	0.163800	0
48	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	14	1	0	0.354660	0
49	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	36	1	1	0.409020	0
