trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	37	1	1	0.189490	0
1	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	5	0	1	0.229630	0
2	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	34	0	1	0.150550	0
3	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	22	1	0	0.191250	0
4	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	16	1	1	0.289570	0
5	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	18	0	1	0.227630	0
6	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	21	0	1	0.161540	0
7	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	31	1	1	0.254920	0
8	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	2	0	0	0.220330	0
9	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	1	1	1	0.289320	0
10	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	18	0	1	0.153450	0
11	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	7	0	0	0.157610	0
12	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	24	0	1	0.326710	0
13	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	17	0	1	0.154160	1
14	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	10	1	1	0.111150	0
15	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	1	0	1	0.113110	0
16	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	32	0	1	0.117420	0
17	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	39	1	1	0.088600	0
18	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	25	0	1	0.332810	0
19	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	23	0	1	0.296100	0
20	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	39	0	1	0.166430	0
21	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	34	1	0	0.178560	0
22	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	35	1	1	0.048230	0
23	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	0	0	1	0.098140	0
24	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	13	0	1	0.233830	0
25	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	10	1	1	0.109450	0
26	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	26	1	0	0.314890	0
27	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	1	39	1	1	0.150120	0
28	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	21	0	1	0.167530	0
29	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	5	0	1	0.113650	0
30	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	1	23	1	1	0.239990	0
31	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	38	1	1	0.164030	0
32	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	2	1	1	0.162740	0
33	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	20	0	1	0.133620	0
34	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	24	1	1	0.158010	0
35	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	18	0	1	0.190930	0
36	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	23	0	1	0.167670	0
37	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	7	1	1	0.360810	0
38	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	10	0	1	0.137150	0
