trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	0	30	0	1	0.134890	0
1	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	1	25	1	1	0.117920	0
2	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	0	29	1	0	0.277610	0
3	white	0.200000	0.009378	0.150000	100.000000	0.200000	0	0	38	0	1	0.142650	0
4	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	0	13	0	1	0.081350	0
5	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	0	32	0	1	0.071650	0
6	white	0.200000	0.012500	0.150000	100.000000	0.200000	0	1	25	1	1	0.135830	0
7	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	0	10	0	1	0.109800	0
8	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	0	16	0	1	0.165920	0
9	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	1	38	1	1	0.062080	0
10	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	1	17	1	1	0.024160	0
11	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	3	1	0	0.104120	0
12	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	0	39	1	0	0.414360	0
13	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	0	8	0	1	0.152570	0
14	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	18	0	0	0.234600	0
15	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	6	1	1	0.115380	0
16	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	27	1	1	0.297030	0
17	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	1	10	1	1	0.069440	0
18	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	1	8	1	1	0.048300	0
19	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	1	2	1	1	0.043820	0
20	white	0.200000	0.012500	0.150000	100.000000	0.200000	0	0	15	0	1	0.130200	0
21	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	1	12	0	0	0.065840	0
22	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	1	19	1	1	0.048070	0
23	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	16	1	1	0.087180	0
24	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	1	11	1	1	0.080990	1
25	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	0	4	0	1	0.171650	0
26	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	21	0	1	0.099840	0
27	white	0.200000	0.009378	0.150000	100.000000	0.200000	0	1	38	1	1	0.067180	0
28	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	0	30	1	0	0.066090	0
29	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	0	23	1	0	0.031030	0
30	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	10	0	1	0.336930	0
31	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	0	35	0	1	0.157820	0
32	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	30	1	1	0.082420	0
33	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	0	20	1	0	0.084570	0
34	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	28	1	0	0.105170	0
