trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.500000	1	0	4	0	1	0.761610	0
1	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	1	1	37	1	1	0.334380	0
2	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.500000	0	1	20	1	1	0.252630	0
3	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	1	0	36	0	1	0.181170	0
4	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	0	1	29	1	1	0.361140	0
5	pink2	0.200000	0.015000	0.150000	100.000000	0.500000	1	1	38	1	1	0.310490	0
6	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	1	1	10	1	1	0.274880	0
7	narrow9	0.200000	0.020000	0.950000	100.000000	0.500000	1	1	15	1	1	0.240150	0
8	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	0	1	32	1	1	0.222380	0
9	white	0.200000	0.020000	0.950000	100.000000	0.500000	0	1	33	1	1	0.267780	0
10	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	0	1	31	1	1	0.200530	0
11	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	1	1	20	1	1	0.137510	0
12	none	0.200000	0.010000	0.048000	100.000000	0.500000	0	1	1	1	1	0.239870	0
13	pink1	0.200000	0.030000	0.048000	100.000000	0.500000	1	1	24	1	1	0.204200	0
14	pink1	0.200000	0.030000	0.150000	100.000000	0.500000	0	1	6	1	1	0.219440	0
15	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	10	0	1	0.285820	0
16	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	1	1	8	1	1	0.200420	0
17	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	0	0	17	0	1	0.181890	0
18	narrow9	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	17	1	1	0.164350	0
19	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	3	1	1	0.180300	0
20	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	0	0	0	0	1	0.158220	0
21	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	1	0	2	0	1	0.190670	0
22	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	6	0	1	0.177840	0
23	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	23	1	1	0.120660	0
24	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	39	1	1	0.124690	0
25	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	6	0	1	0.170490	0
26	white	0.200000	0.020000	0.150000	100.000000	0.200000	1	1	23	1	1	0.164280	0
27	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	33	1	0	0.129590	0
28	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	1	7	1	1	0.204890	0
29	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	0	0	31	0	1	0.159960	0
30	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	26	0	1	0.125580	0
31	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	14	1	1	0.124160	0
32	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	23	1	1	0.153590	0
33	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	1	14	1	1	0.079450	0
34	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	1	13	1	1	0.076360	0
35	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	0	1	25	1	1	0.060220	0
36	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	18	0	1	0.073580	0
37	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	0	1	33	1	1	0.147050	0
38	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	1	1	27	1	1	0.138610	0
39	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	0	1	19	1	1	0.111270	0
40	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	35	0	1	0.083700	0
41	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	2	0	1	0.126100	0
42	none	0.200000	0.010000	0.150000	100.000000	0.200000	0	1	25	1	1	0.068010	0
43	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	1	1	1	0.117490	0
44	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	1	0	23	0	1	0.116350	0
45	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	1	1	1	0.120770	0
46	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	30	1	1	0.058700	0
47	none	0.200000	0.010000	0.150000	100.000000	0.200000	0	1	38	1	1	0.150250	0
48	white	0.200000	0.020000	0.150000	100.000000	0.200000	1	0	30	0	1	0.133950	0
49	white	0.200000	0.020000	0.150000	100.000000	0.200000	0	0	23	0	1	0.082980	0
50	narrow9	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	27	0	1	0.097650	0
51	white	0.200000	0.020000	0.150000	100.000000	0.200000	1	1	18	1	1	0.129420	0
52	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	0	0	28	0	1	0.126840	0
53	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	37	1	1	0.069050	0
54	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	33	1	1	0.109860	0
55	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	1	1	10	1	1	0.120760	0
56	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	0	1	8	1	1	0.029660	0
57	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	0	0	5	0	1	0.053560	0
58	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	35	0	1	0.103580	0
59	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	38	1	1	0.134050	0
