trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	5	1	1	0.375350	0
1	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	35	1	1	0.091770	0
2	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	7	1	1	0.128140	0
3	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	16	1	1	0.224750	0
4	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	21	0	0	0.227180	0
5	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	12	0	1	0.400890	0
6	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	5	1	1	0.123140	0
7	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	21	1	0	0.149770	0
8	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	12	1	1	0.136710	0
9	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	25	0	1	0.076330	0
10	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	31	0	1	0.151060	0
11	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	38	0	1	0.151050	0
12	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	7	0	1	0.177000	0
13	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	29	0	1	0.431720	0
14	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	25	0	1	0.119780	0
15	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	19	0	1	0.186130	0
16	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	13	0	1	0.268890	0
17	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	3	0	1	0.108990	0
18	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	28	1	0	0.286450	0
19	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	1	1	1	1	0.199920	0
20	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	33	0	1	0.662500	0
21	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	14	1	1	0.124040	0
22	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	30	1	1	0.142380	0
