trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	14	0	0	0.427450	0
1	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	33	1	1	0.127730	0
2	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	2	1	0	0.087940	0
3	narrow9	0.200000	0.005627	0.150000	100.000000	0.200000	0	1	34	1	1	0.028490	0
4	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	22	1	1	0.118610	0
5	narrow9	0.200000	0.007500	0.150000	100.000000	0.200000	0	1	20	1	1	0.088680	0
6	narrow9	0.200000	0.005627	0.150000	100.000000	0.200000	0	0	9	0	1	0.073100	0
7	narrow9	0.200000	0.007500	0.150000	100.000000	0.200000	1	0	23	0	1	0.020420	0
8	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	38	1	0	0.169510	0
9	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	34	0	1	0.068530	0
10	narrow9	0.200000	0.003755	0.150000	100.000000	0.200000	1	1	20	1	1	0.119030	0
11	narrow9	0.200000	0.001883	0.150000	100.000000	0.200000	0	1	21	0	0	0.034010	0
12	narrow9	0.200000	0.005627	0.150000	100.000000	0.200000	1	0	39	0	1	0.099110	0
13	narrow9	0.200000	0.003755	0.150000	100.000000	0.200000	0	0	22	1	0	0.116190	0
14	narrow9	0.200000	0.003755	0.150000	100.000000	0.200000	0	0	1	0	1	0.325970	1
15	narrow9	0.200000	0.007500	0.150000	100.000000	0.200000	0	1	31	1	1	0.079120	0
16	narrow9	0.200000	0.005627	0.150000	100.000000	0.200000	0	1	3	1	1	1.141790	0
17	narrow9	0.200000	0.001883	0.150000	100.000000	0.200000	0	1	22	1	1	0.108480	0
18	narrow9	0.200000	0.001883	0.150000	100.000000	0.200000	1	0	24	0	1	0.085980	0
19	narrow9	0.200000	0.007500	0.150000	100.000000	0.200000	1	0	13	0	1	0.015740	0
20	narrow9	0.200000	0.003755	0.150000	100.000000	0.200000	1	1	31	1	1	0.065800	0
21	narrow9	0.200000	0.001883	0.150000	100.000000	0.200000	1	0	11	1	0	0.069840	0
22	narrow9	0.200000	0.003755	0.150000	100.000000	0.200000	0	0	4	1	0	0.195350	0
23	narrow9	0.200000	0.003755	0.150000	100.000000	0.200000	0	1	15	1	1	0.142340	0
24	narrow9	0.200000	0.003755	0.150000	100.000000	0.200000	1	1	30	1	1	0.021170	0
25	narrow9	0.200000	0.003755	0.150000	100.000000	0.200000	0	0	38	0	1	0.121680	0
26	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	23	1	0	0.034380	0
27	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	35	1	1	0.026900	0
28	narrow9	0.200000	0.001883	0.150000	100.000000	0.200000	1	1	24	1	1	0.045090	0
29	narrow9	0.200000	0.005627	0.150000	100.000000	0.200000	1	0	17	0	1	0.120590	0
30	narrow9	0.200000	0.005627	0.150000	100.000000	0.200000	0	0	24	0	1	0.103670	0
31	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	28	1	1	0.319550	0
32	narrow9	0.200000	0.007500	0.150000	100.000000	0.200000	1	0	12	0	1	0.162780	0
33	narrow9	0.200000	0.003755	0.150000	100.000000	0.200000	1	0	38	1	0	0.512790	0
34	narrow9	0.200000	0.005627	0.150000	100.000000	0.200000	1	0	18	1	0	0.209450	0
35	narrow9	0.200000	0.007500	0.150000	100.000000	0.200000	1	0	3	0	1	0.051730	0
36	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	33	1	1	0.108130	0
37	narrow9	0.200000	0.003755	0.150000	100.000000	0.200000	0	0	22	1	0	0.209000	0
38	narrow9	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	38	0	1	0.175060	0
