trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	36	0	1	0.149340	0
1	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	18	0	1	0.136300	0
2	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	9	0	1	0.054490	0
3	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	38	1	1	0.129370	0
4	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	7	1	1	0.099220	0
5	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	22	1	1	0.195140	0
6	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	1	0	1	0.197490	0
7	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	18	0	1	0.105760	0
8	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	2	1	0	0.180700	0
9	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	27	1	1	0.114190	0
10	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	26	1	1	0.098910	0
11	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	28	1	1	0.161970	0
12	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	35	1	0	0.415300	0
13	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	2	1	1	0.116970	0
14	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	20	1	0	0.263810	0
15	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	36	1	1	0.119660	0
16	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	24	1	0	0.140320	0
17	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	18	0	1	0.216630	0
18	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	11	1	1	0.119310	0
19	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	32	0	1	0.072230	0
20	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	28	0	0	0.218830	0
21	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	33	1	0	0.092230	0
22	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	29	1	1	0.420140	0
23	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	21	0	1	0.121760	0
24	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	18	0	1	0.139740	0
25	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	20	0	1	0.187940	0
26	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	21	0	1	0.162540	0
27	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	1	9	1	1	0.222160	0
28	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	29	1	0	0.174260	0
29	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	1	0	0	0.299610	0
30	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	1	0	0	0.306310	0
31	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	15	0	1	0.259640	0
32	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	24	0	1	0.145160	0
33	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	23	1	1	0.115810	0
34	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	16	1	1	0.228870	0
35	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	14	1	1	0.118440	0
36	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	32	0	1	0.129300	0
37	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	38	0	0	0.159270	0
38	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	19	0	1	0.162160	0
39	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	13	1	1	0.093050	0
40	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	11	1	1	0.084380	0
41	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	30	1	0	0.220760	0
42	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	13	0	1	0.114810	0
43	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	30	0	1	0.063720	0
44	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	0	25	0	1	0.097250	0
45	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	36	1	1	0.169680	0
46	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	2	0	1	0.159380	0
47	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	37	1	1	0.180350	0
48	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	34	1	1	0.060030	0
49	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	1	1	0	0.526870	0
50	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	34	0	1	0.232640	0
51	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	39	0	0	0.272970	0
52	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	24	1	0	0.365500	0
53	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	7	1	1	0.307450	0
54	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	25	1	1	0.081430	0
55	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	27	1	0	0.126170	0
56	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	10	0	0	0.348870	0
57	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	25	0	1	0.238820	0
58	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	23	1	1	0.092090	0
59	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	18	0	1	0.150530	0
60	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	17	0	1	0.695880	0
61	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	6	1	1	0.080710	0
62	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	5	1	1	0.284720	0
