trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	11	1	0	0.269750	0
1	pink1	0.200000	0.020000	0.150000	100.000000	0.200000	0	1	5	1	1	0.033670	0
2	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	1	1	28	1	1	0.079280	0
3	pink1	0.200000	0.005007	0.150000	100.000000	0.200000	1	0	30	1	0	0.104950	0
4	pink1	0.200000	0.015003	0.150000	100.000000	0.200000	0	1	5	1	1	0.074180	0
5	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	30	1	1	0.121650	0
6	pink1	0.200000	0.005007	0.150000	100.000000	0.200000	1	1	34	1	1	0.080790	0
7	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	17	1	1	0.089060	0
8	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	0	1	11	1	1	0.067490	0
9	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	1	1	21	0	0	0.158740	0
10	pink1	0.200000	0.005007	0.150000	100.000000	0.200000	1	1	6	0	0	0.063780	0
11	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	0	0	32	0	1	0.063650	0
12	pink1	0.200000	0.005007	0.150000	100.000000	0.200000	1	1	15	1	1	0.070370	0
13	pink1	0.200000	0.020000	0.150000	100.000000	0.200000	1	1	33	1	1	0.145280	0
14	pink1	0.200000	0.020000	0.150000	100.000000	0.200000	0	1	7	1	1	0.016170	0
15	pink1	0.200000	0.020000	0.150000	100.000000	0.200000	0	1	18	1	1	0.040730	0
16	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	0	0	25	0	1	0.139090	0
17	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	0	0	22	0	1	0.094900	0
18	pink1	0.200000	0.015003	0.150000	100.000000	0.200000	0	0	13	0	1	0.011700	0
19	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	34	1	1	0.107470	0
20	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	38	1	1	0.042660	0
21	pink1	0.200000	0.015003	0.150000	100.000000	0.200000	1	0	1	0	1	0.107610	0
22	pink1	0.200000	0.005007	0.150000	100.000000	0.200000	1	1	24	1	1	0.071830	0
23	pink1	0.200000	0.020000	0.150000	100.000000	0.200000	1	0	35	0	1	0.005820	0
24	pink1	0.200000	0.005007	0.150000	100.000000	0.200000	0	1	21	1	1	0.059970	0
25	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	0	0	6	0	1	0.184360	0
26	pink1	0.200000	0.015003	0.150000	100.000000	0.200000	1	1	9	1	1	0.054800	0
27	pink1	0.200000	0.020000	0.150000	100.000000	0.200000	0	1	25	1	1	0.013480	0
28	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	0	0	33	0	1	0.209420	0
29	pink1	0.200000	0.020000	0.150000	100.000000	0.200000	0	1	38	1	1	0.031280	0
30	pink1	0.200000	0.015003	0.150000	100.000000	0.200000	0	0	14	1	0	0.078540	0
31	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	1	1	8	1	1	0.031120	0
32	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	0	0	30	0	1	0.182180	0
33	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	18	0	1	0.069120	0
34	pink1	0.200000	0.005007	0.150000	100.000000	0.200000	0	1	2	1	1	0.152440	0
35	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	27	1	0	0.970530	0
36	pink1	0.200000	0.005007	0.150000	100.000000	0.200000	1	1	5	1	1	0.136820	0
37	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	29	0	1	0.069000	0
38	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	0	1	28	1	1	0.172470	0
39	pink1	0.200000	0.020000	0.150000	100.000000	0.200000	1	1	17	1	1	0.016410	0
40	pink1	0.200000	0.020000	0.150000	100.000000	0.200000	0	1	4	1	1	0.844930	0
41	pink1	0.200000	0.015003	0.150000	100.000000	0.200000	0	1	11	1	1	0.016580	0
42	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	2	1	1	0.069910	0
43	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	6	0	0	0.067100	0
44	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	19	1	0	0.058080	0
45	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	32	0	0	0.090530	0
46	pink1	0.200000	0.010005	0.150000	100.000000	0.200000	0	1	0	1	1	0.093320	0
47	pink1	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	4	1	1	0.054070	0
48	pink1	0.200000	0.005007	0.150000	100.000000	0.200000	0	0	26	1	0	0.062530	0
