trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.011252	0.048000	100.000000	0.200000	1	1	2	1	1	0.095560	0
1	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	2	0	1	0.173220	0
2	white	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	24	0	1	0.071280	0
3	white	0.200000	0.011252	0.048000	100.000000	0.200000	1	0	36	0	1	0.137060	0
4	white	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	27	1	1	0.098050	0
5	white	0.200000	0.011252	0.048000	100.000000	0.200000	1	0	32	0	1	0.140850	0
6	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	19	0	1	0.108990	0
7	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	1	12	1	1	0.043440	0
8	white	0.200000	0.003757	0.048000	100.000000	0.200000	1	0	1	1	0	0.174510	0
9	white	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	13	1	1	0.033950	0
10	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	20	1	1	0.144390	0
11	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	18	1	0	0.290080	0
12	white	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	31	0	1	0.127500	0
13	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	4	0	0	0.157610	0
14	white	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	18	1	1	0.196940	0
15	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	1	1	0	0.118000	0
16	white	0.200000	0.011252	0.048000	100.000000	0.200000	0	0	29	0	1	0.141770	0
17	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	1	1	0	0.233860	0
18	white	0.200000	0.007505	0.048000	100.000000	0.200000	0	1	23	1	1	0.072950	0
19	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	1	35	1	1	0.040500	0
20	white	0.200000	0.007505	0.048000	100.000000	0.200000	0	1	29	1	1	0.095590	0
21	white	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	33	0	1	0.372490	0
22	white	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	7	1	1	0.065550	0
23	white	0.200000	0.003757	0.048000	100.000000	0.200000	1	0	8	1	0	0.167360	0
24	white	0.200000	0.003757	0.048000	100.000000	0.200000	0	1	31	1	1	0.043970	0
25	white	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	5	0	1	0.147990	0
26	white	0.200000	0.003757	0.048000	100.000000	0.200000	1	0	5	0	1	0.227520	0
27	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	14	0	1	0.168800	0
28	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	1	27	1	1	0.105390	0
29	white	0.200000	0.011252	0.048000	100.000000	0.200000	1	1	15	1	1	0.042170	0
30	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	31	1	1	0.097860	0
31	white	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	15	1	1	0.127680	0
32	white	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	9	1	1	0.133430	0
33	white	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	4	0	1	0.149040	0
34	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	27	0	1	0.224040	0
35	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	34	0	1	0.105420	0
36	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	11	0	1	0.433740	0
37	white	0.200000	0.003757	0.048000	100.000000	0.200000	0	1	3	1	1	0.142500	0
38	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	36	1	1	0.253710	0
39	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	9	1	0	0.118720	0
