trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	1	0	12	0	1	0.160180	0
1	narrow9	0.200000	0.030000	0.048000	100.000000	0.500000	1	0	26	0	1	0.118680	0
2	none	0.200000	0.010000	0.048000	100.000000	0.500000	0	1	38	1	1	0.121420	0
3	none	0.200000	0.010000	0.150000	100.000000	0.500000	1	0	21	0	1	0.117510	0
4	pink1	0.200000	0.030000	0.150000	100.000000	0.500000	0	0	11	0	1	0.166520	0
5	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.500000	0	1	3	1	1	0.110190	0
6	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	1	0	38	0	1	0.095830	0
7	none	0.200000	0.010000	0.150000	100.000000	0.500000	1	1	30	1	1	0.190750	0
8	white	0.200000	0.020000	0.950000	100.000000	0.500000	0	0	10	0	1	0.137810	0
9	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	0	1	33	1	1	0.096720	0
10	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	0	1	18	1	1	0.152740	0
11	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	1	0	38	0	1	0.081490	0
12	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	0	1	6	1	1	0.091530	0
13	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	1	0	28	0	1	0.055950	0
14	none	0.200000	0.010000	0.048000	100.000000	0.500000	0	0	35	0	1	0.012570	0
15	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	1	1	5	1	1	0.238270	0
16	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	1	3	1	1	0.120950	0
17	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	0	0	14	0	1	0.056160	0
18	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	1	17	1	1	0.128610	0
