trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	26	1	0	0.906640	0
1	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	24	1	1	0.294140	0
2	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	9	1	0	1.187820	0
3	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	32	0	1	0.819990	0
4	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	34	1	1	0.943300	0
5	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	0	1	0	0.418820	0
6	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	19	0	1	0.132960	0
7	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	1	5	0	0	1.000320	0
8	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	17	1	1	2.214970	0
9	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	22	1	1	0.171050	0
10	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	3	1	1	0.202640	0
11	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	26	1	1	0.324010	0
12	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	6	0	1	0.313140	0
13	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	6	1	1	0.226270	0
14	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	23	1	1	0.080030	0
15	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	16	0	1	0.134610	0
16	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	37	0	1	0.287890	0
17	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	28	1	0	0.216510	0
18	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	29	0	1	0.241780	0
19	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	14	1	1	0.119120	0
20	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	36	1	1	0.097550	0
21	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	5	1	1	0.319160	0
22	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	34	0	1	0.276870	0
23	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	38	0	1	0.722120	0
24	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	16	1	1	0.014390	0
25	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	11	1	1	0.256860	0
26	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	23	1	0	0.345380	0
27	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	35	0	1	0.196620	0
28	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	9	1	1	0.196910	0
29	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	2	0	1	0.148150	0
30	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	1	23	1	1	0.177960	0
31	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	19	1	1	0.172420	0
32	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	5	1	1	0.072110	0
33	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	25	0	1	0.125640	0
34	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	26	1	1	0.152390	0
35	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	28	0	1	0.239150	0
36	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	36	1	0	0.046890	0
37	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	31	0	0	0.193290	0
38	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	25	1	1	0.248470	0
39	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	28	1	1	0.443450	0
40	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	24	0	1	0.160190	0
41	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	24	0	1	0.189430	0
42	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	9	0	1	0.227840	0
43	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	24	0	1	0.112400	0
44	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	11	0	1	0.328580	0
45	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	1	9	1	1	0.116970	0
46	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	32	1	0	0.377850	0
47	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	10	0	1	0.216210	0
48	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	35	1	0	0.153450	0
49	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	1	1	1	0.582450	0
50	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	27	0	0	0.197760	0
51	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	9	1	0	0.654820	0
52	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	8	1	1	0.158470	0
53	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	22	1	1	0.100840	0
54	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	16	1	1	0.077870	0
55	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	7	0	0	0.228480	0
56	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	36	0	1	0.068590	0
57	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	0	1	1	0.061700	0
58	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	4	0	1	0.153410	0
59	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	12	1	1	0.149140	0
60	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	24	1	1	0.240380	0
61	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	27	0	1	0.172510	0
62	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	11	0	1	0.238640	0
63	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	0	1	1	0.231910	0
64	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	4	0	1	0.154590	0
65	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	7	1	0	0.278280	0
66	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	12	1	1	0.303180	0
67	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	34	0	1	0.231010	0
68	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	1	29	1	1	0.182330	0
69	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	22	1	1	0.153910	0
70	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	15	1	1	0.171130	0
71	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	15	0	1	0.047080	0
