trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	1	31	0	0	0.212090	0
1	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	10	1	0	0.386930	0
2	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	24	1	1	0.107130	0
3	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	21	1	0	0.348990	0
4	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	0	15	0	1	0.247450	0
5	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	1	13	0	0	0.278640	0
6	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	14	1	1	0.623980	0
7	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	0	9	0	1	0.233350	0
8	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	0	5	0	1	0.214670	0
9	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	2	0	1	0.075050	0
10	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	9	1	1	0.231950	0
11	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	7	0	1	0.307870	0
12	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	1	12	0	0	0.247900	0
13	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	14	1	0	0.019360	0
14	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	0	30	0	1	0.330930	0
15	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	1	28	1	1	0.252420	0
16	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	13	1	1	0.151080	0
17	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	37	1	0	0.385690	0
18	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	38	0	1	0.566920	0
19	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	24	0	0	0.692990	0
20	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	1	1	1	0.094610	0
21	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	39	0	1	0.227540	0
22	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	0	38	0	1	0.292920	0
23	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	1	32	1	1	0.110930	0
24	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	1	15	1	1	0.190480	0
25	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	16	0	0	0.049890	0
26	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	27	0	0	0.323600	0
27	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	33	0	1	0.308250	0
28	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	0	22	0	1	0.169000	0
29	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	39	1	1	0.066060	0
30	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	24	0	1	0.134170	0
31	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	1	21	1	1	0.226370	0
32	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	3	1	1	0.071330	0
33	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	0	28	1	0	0.322500	0
34	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	22	0	1	0.060370	0
35	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	0	2	0	1	0.172810	0
36	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	1	23	1	1	0.043220	0
37	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	0	16	0	1	0.126400	0
38	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	14	1	1	0.083260	0
39	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	0	20	1	0	0.336540	0
40	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	0	30	0	1	0.138700	0
41	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	1	31	1	1	0.150970	0
42	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	1	10	1	1	0.164640	0
43	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	16	0	1	0.021350	0
44	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	6	0	1	0.405150	0
45	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	0	26	0	1	0.232950	0
46	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	1	5	1	1	0.038670	0
47	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	0	14	0	1	0.226120	0
48	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	0	11	0	1	0.121930	0
49	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	31	1	1	0.028050	0
50	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	1	27	0	0	0.085040	0
51	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	1	27	0	0	0.182460	0
52	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	0	5	0	1	0.302670	0
53	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	19	1	1	1.393530	0
54	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	0	1	39	0	0	0.218050	0
55	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	33	1	1	0.151340	0
56	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	1	29	1	1	0.074400	0
57	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	0	17	0	1	1.143160	0
58	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	0	30	0	1	0.361240	0
59	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	38	1	1	0.130710	0
60	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	22	0	1	0.141480	0
61	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	1	25	0	0	0.245960	0
62	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	1	1	1	0.143950	0
63	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	1	29	1	1	0.219230	0
64	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	23	0	1	0.022400	0
65	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	6	1	1	0.167590	0
66	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	0	18	0	1	0.144080	0
67	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	0	9	0	1	0.126720	0
68	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	0	1	1	0.069740	0
69	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	4	0	0	0.094740	0
