trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	9	0	0	1.011360	0
1	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	7	0	1	0.358160	0
2	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	32	1	1	0.134120	0
3	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	39	0	0	0.463590	0
4	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	17	0	1	0.382710	0
5	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	4	1	0	0.281280	0
6	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	23	1	1	0.497190	0
7	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	12	0	1	0.274240	0
8	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	14	0	0	0.482120	0
9	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	28	0	0	1.654970	0
10	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	17	0	1	0.498060	0
11	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	4	1	1	0.101580	0
12	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	1	0	0	0.304950	0
13	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	16	1	1	0.331920	0
14	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	1	0	0	0.293170	0
15	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	28	0	1	0.257910	0
16	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	20	0	0	0.496710	0
17	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	36	0	1	0.526700	0
18	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	18	0	0	0.760700	0
19	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	10	0	1	0.227210	0
20	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	29	1	1	0.333520	0
21	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	10	0	1	2.099170	0
22	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	19	0	1	0.474180	0
23	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	25	1	1	0.313060	0
24	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	25	1	0	0.548760	0
25	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	25	1	0	1.228970	0
26	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	13	0	0	0.256650	0
27	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	28	1	1	0.349520	0
28	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	14	0	0	0.232230	0
29	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	11	1	1	0.592260	0
30	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	15	0	1	1.220220	0
31	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	1	1	1	0.764900	0
32	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	39	0	0	1.398770	0
33	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	8	1	0	1.117960	0
34	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	10	0	0	0.310400	0
35	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	27	1	1	0.367820	0
36	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	17	0	1	0.380990	0
37	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	34	0	0	0.562650	0
38	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	31	1	0	0.504680	0
39	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	39	1	0	0.970950	0
40	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	25	1	1	0.708020	0
41	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	13	0	1	0.301740	0
42	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	38	1	1	0.483470	0
43	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	1	23	1	1	0.403810	0
44	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	24	1	1	1.934770	0
45	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	31	0	1	1.225700	0
46	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	14	0	1	0.764610	0
47	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	22	1	0	0.256290	1
48	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	36	0	1	0.127520	0
49	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	14	1	0	0.395040	0
50	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	11	0	0	0.457120	0
51	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	1	2	1	1	0.179960	0
52	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	28	1	0	0.698900	0
53	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	12	0	0	0.675330	0
54	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	5	0	1	1.101650	0
55	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	9	1	0	0.326990	0
56	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	3	0	1	0.309760	0
57	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	2	0	0	0.850720	0
58	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	35	1	0	0.372010	0
59	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	34	0	1	0.324230	0
60	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	4	1	1	0.389340	0
61	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	21	0	1	0.583110	0
62	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	11	0	1	1.078370	0
63	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	19	1	1	0.429130	0
64	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	38	1	0	0.520970	0
65	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	0	0	0	0.314750	0
66	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	21	0	1	0.772430	0
67	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	8	1	1	0.164810	0
68	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	1	1	0	0.782100	0
69	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	17	0	1	0.375060	0
70	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	38	0	0	0.586270	0
71	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	29	0	1	0.528040	0
72	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	14	1	1	0.429630	0
73	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	13	1	1	0.599170	0
74	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	13	0	1	0.846840	0
75	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	0	1	1	0.232300	0
76	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	27	0	0	0.357860	0
77	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	12	1	1	0.504740	0
78	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	24	1	0	0.885680	0
79	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	22	0	1	1.130500	0
80	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	5	0	0	0.570030	0
81	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	29	0	1	0.491850	0
82	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	31	1	1	0.406710	0
83	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	4	1	1	0.226520	0
84	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	34	0	0	0.257830	0
85	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	21	1	0	0.324640	0
86	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	33	0	1	0.264670	0
