trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	1	1	0	0	1.299270	0
1	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	1	28	1	1	0.172710	0
2	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	1	1	3	1	1	0.113070	0
3	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	13	1	1	0.120020	0
4	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	0	2	0	1	0.149500	0
5	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	0	29	0	1	0.112750	0
6	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	1	28	1	1	0.130820	0
7	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	1	15	1	1	0.112250	0
8	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	0	35	0	1	0.108260	0
9	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	0	33	0	1	0.113570	0
10	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	0	1	14	1	1	0.133850	0
11	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	0	22	0	1	0.395350	0
12	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	0	1	0	1	0.127520	0
13	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	19	0	1	0.311990	0
14	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	23	0	1	0.522480	0
15	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	1	1	9	1	1	0.106690	0
16	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	6	1	1	0.087900	0
17	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	1	22	0	0	0.145480	0
18	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	0	24	0	1	0.120280	0
19	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	0	1	12	1	1	0.157760	0
20	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	1	21	0	0	0.101700	0
21	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	27	1	1	0.209750	0
22	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	1	26	1	1	0.094640	0
