trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.012500	0.150000	100.000000	0.200000	0	1	29	1	1	0.156380	0
1	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	0	8	0	1	0.035350	0
2	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	10	0	1	0.734280	0
3	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	1	2	1	1	0.236370	0
4	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	0	2	1	0	0.438800	0
5	white	0.200000	0.012500	0.150000	100.000000	0.200000	0	1	2	1	1	0.154260	0
6	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	0	36	0	1	0.029700	0
7	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	1	0	1	0.349350	0
8	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	11	0	0	0.270780	0
9	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	3	0	0	0.661720	0
10	white	0.200000	0.012500	0.150000	100.000000	0.200000	0	0	5	0	1	0.147720	0
11	white	0.200000	0.012500	0.150000	100.000000	0.200000	0	1	3	1	1	1.231460	0
12	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	39	0	0	0.465450	0
13	white	0.200000	0.009378	0.150000	100.000000	0.200000	0	1	39	1	1	0.239680	0
14	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	20	0	1	0.192560	0
15	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	0	10	0	1	0.120310	0
16	white	0.200000	0.009378	0.150000	100.000000	0.200000	0	1	28	1	1	1.059230	0
17	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	1	30	1	1	0.254830	0
18	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	0	0	0	1	0.764040	0
19	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	0	13	1	0	0.444090	0
20	white	0.200000	0.009378	0.150000	100.000000	0.200000	0	1	21	1	1	0.279880	0
21	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	0	23	0	1	0.089180	1
22	white	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	25	0	0	0.302120	0
23	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	0	27	1	0	0.024860	0
24	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	0	21	0	1	0.047130	0
25	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	1	12	1	1	0.230200	0
26	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	0	31	0	1	0.078070	0
