trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink1	0.200000	0.030000	0.150000	100.000000	0.500000	0	1	20	1	1	0.557420	0
1	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	1	0	26	0	1	0.215730	0
2	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	1	1	32	1	1	0.377710	0
3	narrow9	0.200000	0.020000	0.950000	100.000000	0.500000	1	0	21	0	1	0.228560	0
4	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	1	1	14	1	1	0.022540	0
5	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	0	0	35	0	1	0.293420	0
6	pink1	0.200000	0.030000	0.150000	100.000000	0.500000	0	0	30	0	1	0.827240	0
7	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	0	0	28	0	1	0.209080	0
8	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.500000	1	0	29	0	1	0.122680	0
9	narrow9	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	6	1	1	0.024950	0
10	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	1	1	17	1	1	0.008160	0
11	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.500000	0	1	17	1	1	0.609080	0
12	none	0.200000	0.010000	0.950000	100.000000	0.500000	0	0	22	0	1	0.226630	0
13	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	1	0	37	0	1	0.315260	0
14	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	0	0	14	0	1	0.223660	0
15	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	0	12	0	1	0.282110	0
16	none	0.200000	0.010000	0.950000	100.000000	0.200000	1	1	23	1	1	0.310140	0
17	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	0	0	35	0	1	0.114350	0
18	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	22	0	1	0.156800	0
19	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	1	0	30	0	1	0.076100	0
20	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	1	0	11	0	1	0.061620	0
21	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	0	1	13	1	1	0.064890	0
22	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	17	0	1	0.069310	0
23	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	16	1	1	0.098840	0
24	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	6	0	1	0.050130	0
25	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	21	1	1	0.165560	0
26	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	3	1	1	0.083040	0
27	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	1	1	19	1	1	0.104700	0
28	none	0.200000	0.010000	0.048000	100.000000	0.200000	0	0	38	0	1	0.081110	0
29	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	29	1	1	0.079920	0
30	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	19	0	1	-0.001680	0
31	none	0.200000	0.010000	0.048000	100.000000	0.200000	1	1	32	1	1	0.022590	0
32	none	0.200000	0.010000	0.150000	100.000000	0.200000	0	0	6	0	1	0.071720	0
