trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	34	0	1	0.389250	0
1	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	1	5	1	1	0.133040	0
2	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	1	3	0	0	0.085090	0
3	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	1	32	1	1	0.208150	0
4	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	26	1	1	0.002710	0
5	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	23	0	0	0.103930	0
6	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	0	38	0	1	0.504760	0
7	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	29	1	0	0.038780	0
8	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	0	0	0	0.336530	0
9	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	34	0	1	0.481650	0
10	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	12	1	1	0.456190	0
11	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	30	0	1	0.522830	0
12	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	6	1	1	0.159500	0
13	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	0	0	1	0.213870	0
14	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	6	0	0	0.357040	0
15	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	10	0	1	0.177330	0
16	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	0	17	1	0	0.085850	0
17	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	0	31	0	1	0.177520	0
18	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	29	0	0	0.342260	0
19	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	39	1	1	0.085420	0
20	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	0	12	0	1	0.157230	0
21	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	33	0	1	0.260230	0
22	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	1	39	1	1	0.129280	0
23	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	18	0	0	0.790420	0
24	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	3	1	0	1.288200	0
25	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	0	36	0	1	0.102530	0
26	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	0	6	0	1	0.057190	0
27	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	0	1	1	0.100000	0
28	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	0	31	0	1	0.446650	0
29	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	7	1	1	0.296370	0
30	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	1	13	1	1	0.094800	0
31	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	1	10	1	1	0.170310	0
32	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	17	1	1	0.131240	0
33	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	12	1	1	0.103140	0
34	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	0	9	0	1	0.075180	0
35	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	9	0	1	0.099610	0
36	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	12	0	0	0.131520	0
37	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	0	11	0	1	0.138170	0
38	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	39	0	1	0.098030	0
39	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	1	21	1	1	0.106500	0
40	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	1	34	1	1	0.158920	0
41	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	20	1	1	0.144510	0
42	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	22	0	0	0.124790	0
43	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	0	36	1	0	0.240830	0
44	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	6	0	1	0.321400	0
45	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	8	1	0	0.390230	0
46	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	22	1	1	0.132910	0
47	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	0	9	0	1	0.123460	0
48	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	1	17	1	1	0.161540	0
49	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	6	1	1	0.073030	0
50	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	0	1	1	0.599300	0
51	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	0	14	0	1	0.297610	0
52	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	17	0	1	0.124970	0
53	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	1	4	1	1	0.078390	0
