trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	26	0	1	0.072570	1
1	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	23	1	1	0.066790	0
2	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	29	1	1	0.074940	0
3	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	38	0	1	0.036930	0
4	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	30	0	1	0.451910	0
5	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	15	1	1	0.026110	0
6	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	21	1	0	0.411940	0
7	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	37	0	1	0.040100	0
8	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	0	12	0	1	0.026940	0
9	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	0	10	1	0	0.115190	0
10	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	31	0	1	0.207740	0
11	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	10	0	0	0.193360	0
12	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	16	1	1	0.088800	0
13	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	12	0	0	0.433830	0
14	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	26	1	1	0.008600	0
15	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	29	0	1	0.247340	0
16	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	0	0	1	0.140470	0
17	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	19	1	1	0.480450	0
18	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	0	27	0	1	0.086750	0
19	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	22	1	1	0.048990	0
20	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	38	0	1	0.088110	0
21	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	37	0	1	0.336840	0
22	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	1	1	0	0.329330	0
23	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	1	1	1	0.138330	0
24	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	7	0	1	0.048170	0
25	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	12	0	0	0.242830	0
26	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	36	1	0	0.129020	0
27	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	39	0	1	0.258730	0
28	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	26	0	1	0.065620	0
29	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	24	1	0	0.480190	0
30	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	32	1	1	0.207430	0
31	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	23	1	1	0.092460	0
32	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	27	0	0	0.120000	0
33	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	28	0	1	0.162400	0
34	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	39	1	1	0.111700	0
35	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	30	1	0	0.123990	0
36	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	7	1	1	0.200000	0
37	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	34	1	1	0.432110	0
38	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	26	0	0	0.112730	0
39	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	3	1	1	0.122750	0
40	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	29	0	0	0.431600	0
41	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	10	1	1	0.038710	0
42	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	14	0	1	0.292370	0
43	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	3	0	0	0.252710	0
44	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	6	1	0	1.072630	0
45	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	25	0	1	0.322790	0
46	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	19	1	1	0.439440	0
47	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	9	1	1	1.142900	0
48	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	9	0	0	0.103310	0
49	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	21	1	1	0.054650	0
50	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	14	1	1	0.055920	0
51	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	17	0	1	0.155900	0
52	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	31	0	0	0.282820	0
53	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	20	1	1	0.129580	0
54	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	16	1	0	0.166210	0
55	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	0	20	0	1	0.014050	0
56	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	1	7	1	1	0.130320	0
57	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	0	9	0	1	0.154310	0
58	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	38	0	0	0.456820	0
59	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	35	1	1	0.058310	0
60	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	3	1	1	0.185460	0
61	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	4	0	1	0.065640	0
62	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	12	1	1	0.535910	0
63	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	31	1	1	0.171510	0
64	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	18	0	0	0.076480	0
65	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	1	25	0	0	0.495620	0
66	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	21	0	1	0.254720	0
67	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	24	1	1	0.398090	0
68	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	0	23	0	1	0.106180	0
69	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	34	1	1	0.188660	0
70	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	0	21	0	1	0.109950	0
71	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	5	1	1	0.113520	0
72	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	1	16	1	1	0.259570	0
73	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	11	0	1	0.039420	0
74	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	1	1	1	0.070430	0
75	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	6	1	1	0.048840	0
76	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	12	0	0	0.161630	0
77	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	12	0	1	0.160910	0
78	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	27	1	1	0.113520	0
79	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	25	0	1	0.078270	0
80	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	2	1	0	0.116260	0
81	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	13	1	1	0.258300	0
82	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	9	0	0	0.097130	0
83	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	23	1	1	0.240570	0
84	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	16	0	0	0.148250	0
85	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	11	0	1	0.144600	0
