trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	2	1	1	0.402370	0
1	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	18	1	1	0.201320	0
2	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	8	0	1	0.361450	0
3	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	39	0	1	0.173250	0
4	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	9	0	1	0.602640	0
5	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	24	1	1	0.131810	0
6	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	36	0	1	0.454220	0
7	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	28	0	1	0.157820	0
8	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	38	1	1	0.436110	0
9	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	5	1	1	0.178280	0
10	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	11	1	1	0.465010	0
11	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	25	1	1	0.089770	0
12	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	0	0	1	0.327610	0
13	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	27	1	1	0.077400	0
14	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	4	0	1	0.085520	0
15	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	12	1	1	0.391840	0
16	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	1	0	1	0.115840	0
17	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	36	0	1	0.328070	0
18	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	32	0	0	0.541390	0
19	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	10	0	1	0.182520	0
20	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	36	1	1	0.069310	0
21	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	0	0	0	0.420200	0
22	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	31	1	1	0.069810	0
23	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	2	0	1	0.094820	0
24	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	23	0	0	1.002200	0
25	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	21	1	1	0.079120	0
26	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	18	1	1	0.173370	0
27	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	37	1	1	0.138970	0
28	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	29	0	1	0.326720	0
