trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	0	0	12	0	1	0.267290	0
1	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	1	0	1	1	0.096880	0
2	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	20	0	1	0.079840	0
3	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	5	0	1	0.033960	0
4	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	1	2	1	1	0.183290	0
5	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	17	0	0	0.100210	0
6	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	25	0	1	0.114400	0
7	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	0	1	18	1	1	0.289100	0
8	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	0	24	0	1	0.089580	0
9	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	0	2	0	1	0.038600	0
10	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	19	0	1	0.161120	0
11	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	1	1	12	1	1	0.100250	0
12	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	24	1	0	0.123460	0
13	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	0	18	0	1	0.060130	0
14	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	0	15	0	1	0.069550	0
15	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	28	0	1	0.045950	0
16	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	1	24	1	1	0.060410	0
17	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	38	0	1	0.090830	0
18	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	29	1	1	0.005610	0
19	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	17	1	1	0.045780	0
20	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	11	1	1	0.056430	0
21	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	0	0	31	0	1	0.040080	0
22	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	9	1	0	0.156100	0
23	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	36	0	1	0.137040	0
24	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	0	3	0	1	0.048120	0
25	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	10	1	1	0.922400	0
26	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	0	1	23	0	0	0.166120	0
27	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	0	20	0	1	0.161820	0
28	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	4	0	1	0.021730	0
29	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	1	21	1	1	0.057870	0
30	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	10	0	1	0.154880	0
31	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	37	1	0	0.859810	0
32	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	31	1	0	0.114150	0
33	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	19	0	0	0.009760	0
34	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	21	1	1	0.104750	0
35	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	29	0	1	0.003130	0
36	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	8	1	1	0.049520	0
37	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	1	20	1	1	-0.001430	0
38	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	32	1	1	0.065960	0
39	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	1	1	1	0.016400	0
40	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	6	0	0	0.053650	0
41	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	19	1	1	0.061750	0
42	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	6	0	1	0.241920	0
43	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	28	1	0	0.083180	0
44	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	1	32	1	1	0.093560	0
45	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	19	1	1	0.001820	0
46	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	1	1	1	1	0.014910	0
47	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	38	0	0	0.107580	0
48	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	0	23	1	0	0.030550	0
49	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	12	1	1	0.115200	0
50	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	23	1	0	0.038780	0
51	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	2	0	1	0.008000	0
52	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	29	0	1	0.036950	0
53	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	1	14	1	1	0.836540	0
54	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	0	1	39	0	0	0.077170	0
55	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	0	25	0	1	0.053690	0
56	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	33	1	0	0.013680	0
57	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	30	0	0	0.055520	0
58	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	37	0	0	0.071450	0
59	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	6	0	1	1.114180	0
60	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	0	25	0	1	0.048100	0
61	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	19	1	1	0.073040	0
62	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	18	1	0	0.183440	0
63	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	24	0	1	0.119630	0
64	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	29	0	1	0.188430	0
65	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	28	1	1	0.014350	0
66	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	26	1	0	0.167480	0
67	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	3	0	0	0.117350	0
68	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	1	0	1	0.150260	0
69	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	0	1	21	1	1	0.188140	0
70	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	16	1	1	0.252150	0
71	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	2	0	0	0.165570	0
72	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	1	1	1	0.103480	0
73	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	32	1	1	0.058970	0
74	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	6	1	1	0.156920	0
75	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	1	36	0	0	0.061820	0
76	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	16	1	1	0.115230	0
77	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	13	0	1	0.169790	0
78	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	0	1	1	0.046810	0
79	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	14	0	0	0.128750	0
80	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	7	1	1	0.140300	0
81	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	24	1	1	0.075100	0
82	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	9	0	0	0.112730	0
83	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	25	0	1	0.071710	1
84	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	1	1	38	1	1	0.028000	0
85	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	4	0	1	0.072890	0
86	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	32	0	1	0.063980	0
87	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	13	1	1	0.001270	0
88	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	25	0	1	0.022740	0
89	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	2	1	1	0.069270	0
90	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	0	25	0	1	0.024030	0
91	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	13	1	1	0.098760	0
92	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	0	0	30	0	1	0.058210	0
93	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	15	1	1	0.009080	0
94	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	0	12	0	1	0.022640	0
95	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	0	26	0	1	0.072400	0
96	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	1	1	12	1	1	0.035980	0
97	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	5	0	1	0.025650	0
98	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	5	0	1	0.077460	0
99	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	0	1	34	1	1	0.312380	0
