trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	0	38	0	1	0.075600	0
1	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	22	0	0	0.421370	0
2	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	1	26	1	1	0.277310	0
3	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	0	0	1	0.075300	0
4	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	0	36	0	1	0.121670	0
5	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	1	6	0	0	0.100620	0
6	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	11	1	0	0.082130	0
7	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	0	11	0	1	0.040990	0
8	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	9	0	0	0.192250	0
9	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	16	1	0	0.364830	0
10	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	16	0	1	0.096300	0
11	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	1	32	1	1	0.082500	0
12	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	25	1	1	0.296470	0
13	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	1	19	0	0	0.224270	0
14	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	32	1	1	0.483990	0
15	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	14	1	0	0.305550	0
16	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	1	10	0	0	0.245350	0
17	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	19	0	0	0.446220	0
18	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	27	1	1	0.046160	0
19	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	13	0	1	0.081360	0
20	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	26	0	1	0.092790	0
21	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	0	21	0	1	0.230090	0
22	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	0	14	0	1	0.443240	0
23	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	4	1	1	0.103610	0
24	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	0	1	1	0	0.478810	0
25	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	39	0	1	0.077470	0
26	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	0	8	0	1	0.059060	0
27	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	12	1	1	0.137170	0
28	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	16	1	1	0.324610	0
29	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	11	0	1	0.133370	0
