trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.010000	0.950000	100.000000	0.500000	1	1	37	1	1	0.098960	0
1	none	0.200000	0.010000	0.150000	100.000000	0.500000	0	1	38	1	1	0.787800	0
2	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	1	0	0	0	1	0.155800	0
3	none	0.200000	0.010000	0.048000	100.000000	0.500000	0	0	24	0	1	0.013400	0
4	white	0.200000	0.020000	0.150000	100.000000	0.500000	1	1	14	1	1	0.960200	0
5	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	1	1	16	1	1	0.081530	0
6	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.500000	0	0	17	0	1	0.032820	0
7	narrow9	0.200000	0.020000	0.950000	100.000000	0.500000	1	1	33	1	1	0.048580	0
8	pink2	0.200000	0.020000	0.950000	100.000000	0.500000	0	0	15	0	1	0.030300	0
9	none	0.200000	0.010000	0.150000	100.000000	0.500000	1	0	0	0	1	0.018290	0
10	pink2	0.200000	0.020000	0.950000	100.000000	0.500000	0	0	29	0	1	0.781510	0
11	white	0.200000	0.030000	0.048000	100.000000	0.500000	1	1	19	1	1	0.073340	0
12	pink1	0.200000	0.030000	0.150000	100.000000	0.500000	1	0	12	0	1	0.148250	0
13	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	0	0	6	0	1	0.134480	0
14	none	0.200000	0.010000	0.950000	100.000000	0.500000	0	1	1	1	1	0.653460	0
15	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	1	1	7	1	1	0.308450	0
16	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	0	1	6	1	1	0.206310	0
17	narrow3	0.200000	0.020000	0.048000	100.000000	0.200000	1	1	37	1	1	0.141590	0
18	white	0.200000	0.020000	0.950000	100.000000	0.200000	1	0	23	0	1	0.146720	0
19	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	16	1	1	0.104230	0
20	none	0.200000	0.010000	0.150000	100.000000	0.200000	1	0	14	0	1	0.119890	0
21	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	21	0	1	0.144830	0
22	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	12	0	1	0.127460	0
23	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	37	1	1	0.136850	0
24	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	0	25	0	1	0.101460	0
25	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	11	0	1	0.178270	0
26	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	8	0	1	0.131060	0
27	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	29	0	1	0.145090	0
