trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	23	1	1	0.193050	0
1	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	23	0	1	0.085380	0
2	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	15	1	1	0.056970	0
3	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	9	1	0	0.319070	0
4	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	32	0	1	0.076840	0
5	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	1	1	1	0.239550	0
6	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	23	0	1	0.039970	0
7	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	30	1	1	0.094800	0
8	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	32	1	0	0.107730	0
9	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	26	1	1	0.095940	0
10	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	31	1	0	0.072250	0
11	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	0	0	0	0.114710	0
12	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	38	1	1	0.020080	0
13	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	17	0	1	0.248850	0
14	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	0	0	1	0.169700	0
15	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	14	0	1	0.105230	0
16	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	4	0	1	0.047550	0
17	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	28	0	1	0.083180	0
18	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	5	1	1	0.180310	0
19	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	4	0	1	0.005970	0
20	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	1	11	1	1	0.083830	0
21	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	3	1	1	0.151890	0
22	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	24	1	0	0.093190	0
23	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	10	0	1	0.099610	0
24	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	25	1	0	0.070250	0
25	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	33	1	1	0.032270	0
26	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	13	1	1	0.069700	0
27	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	34	1	1	0.039880	0
28	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	1	27	1	1	0.152580	0
29	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	0	32	0	1	0.079380	0
30	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	28	1	1	0.552160	0
31	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	31	1	1	0.200590	0
32	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	1	11	1	1	0.006440	0
33	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	19	1	1	0.041500	0
34	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	30	1	1	0.124490	0
35	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	38	1	1	0.008810	0
