trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	37	1	1	0.028760	0
1	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	24	1	1	0.009730	0
2	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	12	1	0	0.287740	0
3	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	10	0	0	0.126760	0
4	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	23	1	1	0.038430	0
5	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	1	1	1	0.277840	0
6	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	0	1	0	1	1	0.055150	0
7	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	11	0	1	0.163670	0
8	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	30	0	1	0.080780	0
9	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	36	1	0	0.271610	0
10	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	8	0	1	0.111320	0
11	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	36	0	1	0.105000	0
12	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	24	1	1	0.059980	0
13	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	23	1	1	0.059970	0
14	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	36	1	0	0.005200	0
15	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	4	1	1	0.030870	0
16	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	28	1	0	0.037910	0
17	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	31	0	1	0.329850	0
18	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	32	0	1	0.008160	0
19	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	1	0	1	0.053180	0
20	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	29	1	1	0.069390	0
21	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	35	0	1	0.093010	0
22	narrow9	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	31	1	1	0.080270	0
23	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	16	1	1	0.241190	0
24	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	27	1	0	0.225750	0
25	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	7	1	0	0.278690	0
26	narrow9	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	25	0	1	0.003920	0
27	narrow9	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	30	0	1	0.066240	0
28	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	35	0	1	0.079380	0
29	narrow9	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	39	0	1	0.102830	0
30	narrow9	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	16	0	1	0.086250	0
