trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	32	0	1	0.271450	0
1	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	29	1	0	0.468840	0
2	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	26	1	1	0.124440	0
3	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	8	0	1	0.043450	0
4	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	30	1	0	0.096170	0
5	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	34	0	0	0.041500	0
6	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	25	1	1	0.156820	0
7	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	22	1	1	0.250070	0
8	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	36	0	1	0.345720	0
9	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	18	0	1	0.184590	0
10	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	27	0	1	0.199100	0
11	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	20	0	1	0.094220	0
12	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	29	0	1	0.260830	0
13	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	12	1	1	0.070650	0
14	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	11	1	1	0.112160	0
15	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	18	0	0	0.301930	0
16	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	39	0	1	0.193360	0
17	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	26	1	0	0.284230	0
18	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	31	1	1	0.107160	0
19	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	30	0	1	0.107840	0
20	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	27	0	0	0.412410	0
21	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	9	1	1	0.064470	0
22	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	17	1	1	0.188000	0
23	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	23	0	1	0.057710	0
24	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	11	0	1	0.080470	0
25	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	14	1	0	0.060440	0
26	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	32	0	0	0.136510	0
27	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	21	1	0	0.440620	0
28	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	7	1	1	0.251320	0
29	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	21	0	1	0.174790	0
30	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	12	0	1	0.128860	0
31	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	10	1	1	0.121460	0
32	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	26	1	1	0.057020	0
33	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	0	12	0	1	0.038910	0
34	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	1	33	1	1	0.095140	0
35	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	1	0	1	0.052550	0
