trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	1	14	1	1	0.252370	0
1	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	1	23	1	1	0.077160	0
2	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	1	26	0	0	0.318200	0
3	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	17	1	1	0.070810	0
4	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	29	0	0	0.204750	0
5	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	1	27	0	0	0.276810	0
6	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	1	30	1	1	0.028200	0
7	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	0	12	0	1	0.057070	0
8	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	31	0	1	0.016940	0
9	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	0	16	0	1	0.049490	0
10	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	1	15	1	1	0.044410	0
11	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	0	16	0	1	0.031860	0
12	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	1	28	1	1	0.029480	0
13	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	1	18	1	1	0.058470	0
14	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	0	5	0	1	0.082940	0
15	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	16	0	0	0.110800	0
16	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	32	0	0	0.091370	0
17	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	0	29	0	1	0.051540	0
18	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	0	10	0	1	0.017250	0
19	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	1	24	0	0	0.103100	0
20	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	1	28	1	1	0.015660	0
21	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	0	39	0	1	0.093410	0
22	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	18	1	1	0.049540	0
23	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	0	12	1	0	0.031940	0
24	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	0	17	0	1	0.005010	0
25	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	1	15	0	0	0.117830	0
26	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	0	14	0	1	0.003960	0
27	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	0	24	0	1	0.069660	0
28	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	0	33	0	1	0.036180	0
29	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	0	39	0	1	0.088860	0
30	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	3	0	1	0.014780	0
31	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	1	30	1	1	0.139830	0
32	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	1	18	1	1	0.180510	0
33	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	0	24	0	1	0.043990	0
34	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	39	0	1	0.330420	0
35	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	1	27	1	1	0.079180	0
36	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	6	0	1	0.083520	0
37	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	1	29	1	1	0.012650	0
38	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	9	0	0	0.091970	0
39	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	4	0	1	0.075700	0
40	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	20	0	0	0.146300	0
41	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	0	31	0	1	0.130700	0
42	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	1	23	1	1	0.040710	0
43	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	17	0	1	0.030150	0
44	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	0	26	0	1	0.042790	0
45	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	0	0	0	1	0.039290	0
46	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	0	29	0	1	0.050050	0
47	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	1	5	1	1	0.164410	0
48	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	7	0	1	0.028540	0
49	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	37	1	1	0.332470	0
50	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	27	0	0	0.037820	0
51	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	1	0	1	0.068830	0
52	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	0	14	0	1	0.019450	0
53	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	0	35	0	1	-0.001600	0
54	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	11	0	0	0.124590	0
55	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	1	19	0	0	0.072310	0
56	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	1	4	1	1	0.013360	0
57	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	0	13	0	1	0.074460	0
58	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	1	39	0	0	0.022520	0
59	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	1	22	1	1	0.075320	0
60	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	1	31	1	1	0.297430	0
61	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	0	1	0	1	0.078950	0
62	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	1	24	1	1	0.022000	0
63	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	1	6	1	1	0.292840	0
64	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	0	4	0	1	0.057020	0
65	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	0	0	37	1	0	0.144770	0
66	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	1	7	1	1	0.032630	0
67	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	1	2	1	1	0.024940	0
68	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	28	0	1	0.009870	0
69	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	1	3	1	1	0.030700	0
70	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	24	1	0	0.089840	0
71	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	0	18	0	1	0.017080	0
72	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	21	0	1	0.316660	0
73	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	0	32	0	1	0.256750	0
74	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	0	30	0	1	0.006460	0
75	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	36	0	1	-0.001330	0
76	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	3	1	1	0.068080	0
77	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	1	1	1	0.194750	0
78	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	0	16	0	1	0.046870	0
79	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	1	37	0	0	0.064620	0
80	pink2	0.200000	0.001508	0.150000	100.000000	0.200000	1	1	5	0	0	0.148320	0
81	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	1	28	1	1	0.273330	0
82	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	0	10	0	1	0.034590	0
83	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	0	38	0	1	0.030950	0
84	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	30	1	1	0.157720	0
85	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	11	1	0	0.058950	0
86	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	24	1	0	0.303920	0
87	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	1	7	1	1	0.025690	0
88	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	1	0	30	0	1	0.039920	0
89	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	1	32	1	1	0.034350	0
90	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	1	21	1	1	0.022420	0
91	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	3	1	0	0.088430	0
92	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	1	0	19	0	1	0.015140	0
93	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	0	12	0	1	0.028430	0
94	pink2	0.200000	0.003005	0.150000	100.000000	0.200000	0	0	37	0	1	0.033870	0
95	pink2	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	19	0	0	0.050180	0
96	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	1	8	1	1	0.055330	0
97	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	1	0	30	0	1	0.018860	0
98	pink2	0.200000	0.006000	0.150000	100.000000	0.200000	0	1	12	1	1	0.272610	0
99	pink2	0.200000	0.004502	0.150000	100.000000	0.200000	0	0	8	0	1	0.047300	0
