trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	1	1	0	0.461930	0
1	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	11	1	1	0.026940	0
2	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	16	1	1	0.319820	0
3	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	39	0	1	0.342260	0
4	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	34	1	1	0.010910	0
5	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	0	28	0	1	0.208640	0
6	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	0	6	0	1	0.080240	0
7	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	21	1	0	0.150310	0
8	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	24	0	1	0.120550	0
9	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	37	0	0	0.129730	0
10	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	5	0	1	0.094700	0
11	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	18	1	1	0.068950	0
12	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	18	1	1	0.036040	0
13	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	30	0	1	0.099160	0
14	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	1	1	1	0.012050	0
15	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	12	1	1	0.076570	0
16	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	1	32	0	0	0.330750	0
17	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	14	0	1	0.097440	0
18	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	5	1	1	0.045180	0
19	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	10	1	1	0.055880	0
20	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	36	0	1	0.045220	0
21	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	27	0	1	0.058110	0
