trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	0	35	0	1	0.215780	0
1	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	1	38	1	1	0.284030	0
2	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	1	27	1	1	0.205500	0
3	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	18	1	1	0.145380	0
4	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	1	6	1	1	0.046030	0
5	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	1	33	1	1	0.101810	0
6	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	34	1	1	0.143200	0
7	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	0	22	0	1	0.078810	0
8	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	19	1	1	0.120010	0
9	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	14	0	1	0.073110	0
10	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	1	25	1	1	0.089190	0
11	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	1	21	1	1	0.053730	0
12	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	6	1	1	0.413520	0
13	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	1	37	1	1	0.005980	0
14	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	33	0	1	0.022710	0
15	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	0	13	0	1	0.268430	0
16	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	17	1	1	0.029360	0
17	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	0	27	0	1	0.139330	0
18	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	25	0	1	0.042490	0
19	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	12	1	1	0.023540	0
20	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	30	1	1	0.306530	0
21	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	0	28	0	1	0.063620	0
22	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	1	14	0	0	0.403130	0
23	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	1	12	1	1	0.060350	0
24	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	1	9	1	1	0.080440	1
25	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	26	1	1	0.739720	0
26	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	35	1	1	0.295610	0
27	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	0	7	0	1	0.299820	0
28	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	0	27	0	1	0.017940	0
29	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	0	28	0	1	0.022000	0
30	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	12	1	1	0.047110	0
31	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	1	27	1	1	0.037440	0
32	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	13	0	1	0.333890	0
33	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	4	0	1	0.344140	0
34	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	0	12	0	1	0.029350	0
35	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	1	25	1	1	0.104050	0
36	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	14	1	1	0.023090	0
37	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	1	8	1	1	0.103610	0
38	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	15	1	1	0.390950	0
39	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	1	23	1	1	0.286430	0
40	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	0	34	1	0	0.025740	0
41	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	0	36	0	1	0.332510	0
42	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	1	9	1	1	0.448010	0
43	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	29	1	1	0.094290	0
44	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	33	1	1	0.330030	0
45	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	0	10	0	1	0.109690	0
46	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	14	1	1	0.130040	0
47	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	1	15	1	1	0.059800	0
48	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	1	1	1	1	0.048840	0
49	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	1	1	1	0.040780	0
50	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	0	34	1	0	0.038610	0
51	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	18	1	0	0.240030	0
52	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	12	1	1	0.140850	0
53	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	1	32	1	1	0.115500	0
54	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	0	10	0	1	0.041400	0
55	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	11	0	1	0.348330	0
56	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	1	28	1	1	0.051440	0
57	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	24	0	1	0.047890	0
58	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	1	13	1	1	0.044290	0
59	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	0	23	0	1	0.135590	0
60	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	0	11	0	1	0.133190	0
61	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	1	33	1	1	0.169390	0
62	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	15	1	1	0.102690	0
63	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	0	37	0	1	0.039820	0
64	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	0	35	0	1	0.047160	0
65	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	11	0	1	0.230700	0
66	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	39	0	1	0.024250	0
67	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	6	0	0	0.335390	0
68	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	15	0	0	0.233620	0
69	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	24	0	1	0.114920	0
70	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	5	1	1	0.055600	0
71	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	0	34	0	1	0.055130	0
72	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	1	0	1	1	0.070750	0
73	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	16	0	1	0.026190	0
74	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	39	0	1	0.006500	0
75	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	10	0	0	0.494970	0
76	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	2	0	1	0.408430	0
77	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	0	34	0	1	0.076370	0
78	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	0	23	1	0	0.402090	0
79	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	10	1	0	0.065850	0
80	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	7	0	1	0.141600	0
81	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	0	30	0	1	0.047270	0
82	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	39	1	1	0.475190	0
83	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	0	5	0	1	0.064240	0
84	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	38	0	1	0.081430	0
85	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	6	0	0	0.256220	0
86	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	10	0	0	0.081880	0
87	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	1	18	0	0	0.234180	0
88	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	0	15	1	0	0.325150	0
89	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	0	23	0	1	0.054400	0
90	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	0	28	0	1	0.095010	0
91	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	38	0	1	0.132180	0
92	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	0	19	0	1	0.080300	0
93	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	1	37	1	1	0.079120	0
94	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	37	1	1	0.001360	0
95	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	0	10	0	1	0.054370	0
96	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	32	1	0	0.414880	0
97	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	1	23	1	1	0.286850	0
98	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	1	6	0	0	0.070420	0
99	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	27	0	1	0.060330	0
