trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	20	1	0	0.183950	0
1	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	1	1	1	0.020280	0
2	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	22	1	1	0.056730	0
3	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	0	1	1	0.049690	0
4	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	23	1	0	0.078610	0
5	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	25	0	1	0.266300	0
6	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	0	35	0	1	0.016820	0
7	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	8	0	0	0.100040	0
8	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	12	0	1	0.035190	0
9	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	2	1	1	0.052450	0
10	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	34	1	1	0.077970	0
11	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	24	0	1	0.180040	0
12	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	2	0	1	0.385610	0
13	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	3	0	0	0.028930	0
14	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	10	1	1	0.013410	0
15	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	1	26	1	1	0.030020	0
16	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	24	1	1	0.063290	0
17	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	38	1	1	0.003890	0
18	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	31	0	1	0.373070	0
19	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	25	1	1	0.310070	0
20	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	26	1	1	0.319310	0
21	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	9	0	1	0.272830	0
22	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	16	0	1	0.126950	0
23	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	22	0	1	0.027140	0
24	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	3	0	1	0.115120	0
25	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	29	1	1	0.063280	0
26	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	38	0	1	0.055320	0
27	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	6	0	1	0.014940	0
28	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	0	0	0	1	0.330890	0
29	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	23	0	1	0.081820	0
30	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	1	15	1	1	0.093980	0
31	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	20	0	1	0.074580	0
32	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	22	1	0	0.053260	0
33	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	0	26	0	1	0.294600	0
34	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	34	0	0	0.009380	0
35	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	16	1	1	0.314830	0
36	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	21	1	1	0.258870	0
37	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	31	0	1	0.104090	0
38	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	22	0	1	0.017310	0
39	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	31	1	1	0.117470	0
40	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	19	0	1	-0.000290	0
41	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	30	1	1	0.030830	0
42	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	0	5	0	1	0.057850	0
43	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	6	1	0	0.000940	0
44	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	39	1	1	0.132880	0
45	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	0	21	0	1	0.028370	0
46	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	25	0	0	0.042190	0
47	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	11	1	1	-0.002070	0
48	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	37	1	0	0.206400	0
49	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	39	0	1	0.024480	0
50	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	0	31	0	1	0.086500	0
51	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	0	12	0	1	0.228150	0
52	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	29	0	1	-0.001310	0
53	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	1	12	1	1	0.345940	0
54	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	0	1	0	0.240880	0
55	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	1	0	0	0.386880	0
56	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	38	0	0	0.037160	0
57	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	4	0	0	0.013610	0
58	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	32	1	1	0.001080	0
59	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	12	0	1	0.044340	0
60	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	1	37	1	1	0.022820	0
61	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	12	0	1	0.129530	0
62	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	0	11	0	1	0.327150	0
63	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	19	0	1	0.313960	0
64	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	39	1	1	0.135800	0
65	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	10	0	0	0.120430	0
66	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	27	0	1	0.098520	0
67	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	34	0	1	0.009650	1
68	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	6	1	1	0.007130	0
69	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	37	0	1	0.140790	0
70	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	8	1	0	0.037290	0
71	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	11	0	1	-0.001960	0
72	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	18	0	0	0.062080	0
73	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	15	0	1	0.030220	0
74	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	11	1	1	0.063160	0
75	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	14	0	0	0.059950	0
76	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	36	0	1	0.241840	0
77	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	37	0	1	0.250070	0
78	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	18	1	1	0.070980	0
79	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	14	0	1	0.116230	0
80	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	14	1	1	0.021960	0
81	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	8	0	1	0.032180	0
82	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	0	18	0	1	0.004760	0
83	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	36	0	1	0.037410	0
84	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	1	35	0	0	0.037440	0
85	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	38	0	1	0.110620	0
86	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	3	0	0	0.028780	0
87	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	19	1	1	0.013550	0
88	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	1	1	0	0.196850	0
89	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	30	0	1	0.019830	0
90	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	4	0	1	0.031770	0
91	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	22	1	1	0.078180	0
92	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	9	0	1	0.115070	0
93	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	13	1	1	0.035570	0
94	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	0	18	0	1	0.052940	0
95	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	36	1	1	0.072920	0
96	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	19	0	0	0.139500	0
97	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	16	1	1	0.120340	0
98	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	13	1	1	0.042410	0
99	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	28	0	1	0.091350	0
