trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	1	20	1	1	0.190680	0
1	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	22	1	1	0.558140	0
2	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	0	30	1	0	0.452360	0
3	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	0	2	1	0	0.175390	0
4	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	12	1	1	0.142600	0
5	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	1	17	1	1	0.163420	0
6	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	1	4	1	1	0.097300	0
7	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	0	16	1	0	0.209730	0
8	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	1	1	1	1	0.197180	0
9	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	0	23	1	0	0.246110	0
10	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	1	10	1	1	0.090840	0
11	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	1	38	1	1	0.112240	0
12	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	0	10	0	1	0.230380	0
13	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	34	1	0	0.246320	0
14	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	24	1	1	0.222040	0
15	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	1	4	1	1	0.601910	0
16	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	17	0	1	0.253840	0
17	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	0	34	0	1	0.254050	0
18	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	1	14	1	1	0.123910	0
19	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	1	12	1	1	0.066630	0
20	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	1	9	1	1	0.037600	0
21	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	0	23	1	0	0.140590	0
22	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	5	1	0	0.179090	0
23	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	1	36	1	1	0.083230	0
24	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	1	35	1	1	0.031960	0
25	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	30	1	0	0.448770	0
26	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	5	1	1	0.225850	0
27	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	18	0	1	0.401070	0
