trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	1	1	12	1	1	0.222140	0
1	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	1	10	1	1	0.000900	0
2	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	33	1	1	0.260090	0
3	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	0	31	0	1	0.432910	0
4	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	0	36	0	1	0.095700	0
5	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	26	0	0	0.035940	0
6	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	1	19	1	1	0.038200	0
7	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	0	1	18	1	1	0.027550	0
8	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	0	2	0	1	0.044930	0
9	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	13	0	0	0.015760	0
10	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	0	25	0	1	0.051400	0
11	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	30	0	1	0.239700	0
12	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	0	21	0	1	-0.000920	0
13	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	1	0	12	0	1	0.092270	0
14	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	25	0	0	0.183190	0
15	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	15	0	1	0.172540	0
16	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	33	1	0	0.491680	0
17	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	0	0	8	0	1	0.056090	0
18	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	33	1	1	0.088070	0
19	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	37	1	1	0.004340	0
20	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	0	5	0	1	0.083660	0
21	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	0	17	0	1	0.200820	0
22	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	1	27	1	1	0.169820	0
23	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	32	1	1	0.025770	0
24	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	0	13	1	0	0.096150	0
25	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	10	0	0	0.340300	0
26	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	0	32	1	0	0.295680	0
27	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	1	16	1	1	0.091610	0
28	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	1	8	1	1	0.244580	0
29	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	1	22	1	1	0.248270	0
30	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	17	1	1	0.097770	0
31	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	0	1	38	1	1	0.037860	0
32	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	20	1	1	0.047520	0
33	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	27	1	1	0.087150	0
34	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	0	0	21	0	1	0.115930	0
35	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	0	18	0	1	0.093860	0
36	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	5	1	1	0.287810	0
37	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	22	1	1	0.370360	0
38	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	1	17	1	1	0.108240	0
39	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	1	0	26	0	1	0.088460	0
40	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	1	8	1	1	0.048320	0
41	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	0	38	0	1	0.204700	0
42	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	0	0	24	0	1	0.065660	0
43	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	1	28	0	0	0.074740	0
44	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	12	0	0	0.253110	0
45	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	0	32	0	1	0.136950	0
46	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	0	27	0	1	0.080550	0
47	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	1	23	0	0	0.082260	0
48	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	1	4	1	1	0.057460	0
49	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	1	0	30	0	1	0.028010	0
50	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	0	27	0	1	0.040240	0
51	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	0	30	0	1	0.026080	0
52	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	37	0	1	0.077840	0
53	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	16	0	0	0.086630	0
54	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	1	31	1	1	0.095870	0
55	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	0	14	1	0	0.037810	0
56	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	1	20	1	1	0.042770	0
57	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	27	1	0	0.056140	0
58	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	34	1	1	0.202450	0
59	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	0	1	21	1	1	0.214310	0
60	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	0	26	0	1	0.030460	0
61	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	23	0	0	0.122840	0
62	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	0	26	0	1	0.165640	0
63	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	1	15	0	0	0.044380	0
64	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	1	9	1	1	0.355730	0
65	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	0	32	0	1	0.050260	0
66	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	0	15	0	1	0.023780	0
67	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	0	0	0	1	0.008030	0
68	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	29	1	0	0.150830	0
69	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	1	31	1	1	0.026470	0
70	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	1	0	34	0	1	0.089950	0
71	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	0	21	0	1	0.089590	0
72	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	1	12	1	1	0.033190	0
73	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	1	6	0	0	0.137090	0
74	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	17	1	1	0.054920	0
75	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	1	0	0	0	1	0.060480	0
76	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	19	1	1	0.018870	0
77	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	32	1	1	0.078850	0
78	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	1	20	1	1	0.011430	0
79	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	0	24	0	1	0.038870	0
80	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	0	0	0	1	0.053900	0
81	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	0	34	0	1	0.348340	0
82	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	0	0	11	0	1	0.027560	0
83	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	1	30	0	0	0.004820	0
84	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	0	28	0	1	0.026190	0
85	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	0	1	28	1	1	0.018020	0
86	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	1	1	30	1	1	0.062450	0
87	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	15	0	0	0.208650	0
88	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	0	39	0	1	0.051010	0
89	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	1	10	1	1	0.071190	0
90	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	0	0	13	0	1	0.021160	0
91	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	1	1	1	0.065890	0
92	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	37	1	1	0.150750	0
93	pink2	0.200000	0.002005	0.048000	100.000000	0.200000	1	0	2	1	0	0.000610	0
94	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	0	7	0	1	0.104670	0
95	pink2	0.200000	0.004000	0.048000	100.000000	0.200000	1	1	10	1	1	0.004600	0
96	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	0	1	4	1	1	0.019490	0
97	pink2	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	3	1	0	0.108230	0
98	pink2	0.200000	0.003003	0.048000	100.000000	0.200000	1	1	2	1	1	0.040220	0
99	pink2	0.200000	0.001008	0.048000	100.000000	0.200000	0	1	33	1	1	0.014030	0
