trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	1	19	1	1	0.000870	0
1	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	1	26	1	1	0.011230	0
2	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	0	29	0	1	0.040120	0
3	white	0.200000	0.012500	0.150000	100.000000	0.200000	0	0	12	0	1	0.011430	0
4	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	1	13	1	1	0.055680	0
5	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	1	29	1	1	0.042870	0
6	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	4	1	0	0.338850	0
7	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	1	25	1	1	0.001640	0
8	white	0.200000	0.006255	0.150000	100.000000	0.200000	0	1	22	1	1	0.031230	0
9	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	21	0	1	0.045290	0
10	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	39	0	1	0.150280	0
11	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	1	39	1	1	0.016580	0
12	white	0.200000	0.009378	0.150000	100.000000	0.200000	0	1	9	1	1	0.038020	0
13	white	0.200000	0.003133	0.150000	100.000000	0.200000	0	0	38	0	1	0.037910	0
14	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	0	19	1	0	0.140890	0
15	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	0	0	1	0.265390	0
16	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	0	17	0	1	0.050340	0
17	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	32	0	1	0.022640	0
18	white	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	27	1	0	0.228350	0
19	white	0.200000	0.003133	0.150000	100.000000	0.200000	1	0	12	0	1	0.131150	0
20	white	0.200000	0.012500	0.150000	100.000000	0.200000	1	1	23	1	1	0.016020	0
21	white	0.200000	0.009378	0.150000	100.000000	0.200000	1	1	10	1	1	0.007700	0
22	white	0.200000	0.006255	0.150000	100.000000	0.200000	1	0	26	0	1	0.039130	0
