trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	30	1	1	0.083790	0
1	white	0.200000	0.020000	0.950000	100.000000	0.500000	1	0	30	0	1	0.059370	0
2	white	0.200000	0.020000	0.150000	100.000000	0.500000	1	0	13	0	1	0.057740	0
3	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	1	0	12	0	1	0.063260	0
4	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	1	0	0	0	1	0.004060	0
5	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	0	0	12	0	1	0.402180	0
6	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	1	0	7	0	1	0.152910	0
7	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.500000	1	1	2	1	1	0.084400	0
8	none	0.200000	0.010000	0.950000	100.000000	0.500000	1	1	32	1	1	0.038300	0
9	white	0.200000	0.020000	0.150000	100.000000	0.500000	0	1	38	1	1	0.061840	0
10	narrow9	0.200000	0.020000	0.950000	100.000000	0.500000	1	0	39	0	1	0.066190	0
11	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	1	0	6	0	1	0.052730	0
12	none	0.200000	0.010000	0.048000	100.000000	0.500000	0	1	5	1	1	0.054120	0
13	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.500000	1	0	25	0	1	0.026240	0
14	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	1	1	30	1	1	0.030720	0
15	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	16	0	1	0.169820	0
16	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	32	0	1	0.051790	0
17	none	0.200000	0.010000	0.048000	100.000000	0.200000	0	0	39	0	1	0.053750	0
18	none	0.200000	0.010000	0.150000	100.000000	0.200000	0	1	21	1	1	0.033650	0
19	narrow3	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	15	1	1	0.044170	0
20	pink2	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	1	0	1	0.025740	0
21	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	1	32	1	1	0.028810	0
22	none	0.200000	0.010000	0.150000	100.000000	0.200000	0	0	16	0	1	0.016640	0
23	pink1	0.200000	0.060000	0.950000	100.000000	0.200000	1	1	4	1	1	0.001160	0
24	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	33	0	1	0.054140	0
25	none	0.200000	0.010000	0.950000	100.000000	0.200000	1	0	26	0	1	0.021580	0
26	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	1	1	35	1	1	0.013960	0
27	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	0	0	12	0	1	0.001020	0
28	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	3	0	1	0.036800	0
29	narrow9	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	38	0	1	0.055170	0
30	white	0.200000	0.020000	0.950000	100.000000	0.200000	1	0	9	0	1	0.102910	0
31	white	0.200000	0.020000	0.950000	100.000000	0.200000	0	0	11	0	1	0.032370	0
32	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	1	39	1	1	0.084990	0
33	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	0	0	1	0.023000	0
34	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	1	0	37	0	1	0.339780	0
35	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	36	0	1	0.032500	0
36	white	0.200000	0.020000	0.150000	100.000000	0.200000	1	1	16	1	1	0.014230	0
37	white	0.200000	0.020000	0.150000	100.000000	0.200000	1	1	39	1	1	0.027350	0
38	none	0.200000	0.010000	0.150000	100.000000	0.200000	1	1	11	1	1	0.034410	0
