trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	25	1	1	0.434050	0
1	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	29	0	1	0.619310	0
2	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	0	35	0	1	0.377980	0
3	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	20	0	1	0.149230	0
4	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	2	0	1	0.100330	0
5	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	5	0	0	0.635890	0
6	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	35	0	1	0.477560	0
7	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	15	1	1	0.161830	0
8	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	1	2	1	1	0.469030	0
9	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	2	0	1	0.596660	0
10	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	28	0	0	0.471950	0
11	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	0	10	0	1	0.134400	0
12	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	1	25	1	1	0.237930	0
13	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	39	1	1	0.717910	0
14	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	1	6	0	0	0.690470	0
15	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	10	0	1	0.488910	0
16	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	0	7	0	1	0.151810	0
17	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	1	24	1	1	0.320130	0
18	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	1	1	18	1	1	0.283690	0
19	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	8	1	1	0.100360	0
20	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	22	1	1	0.436950	0
21	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	3	0	1	0.148330	0
22	narrow0.5	0.200000	0.001883	0.950000	100.000000	0.200000	0	0	39	0	1	0.605000	0
23	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	17	1	1	0.131010	0
24	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	0	13	0	1	0.295850	0
25	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	0	0	5	0	1	0.158530	0
26	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	1	0	12	0	1	0.107960	0
27	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	33	1	1	0.112780	0
28	narrow0.5	0.200000	0.005627	0.950000	100.000000	0.200000	0	1	5	1	1	0.163600	0
29	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	0	1	15	1	1	0.088720	0
30	narrow0.5	0.200000	0.007500	0.950000	100.000000	0.200000	1	1	32	1	1	0.095730	0
31	narrow0.5	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	39	0	0	0.270600	0
32	narrow0.5	0.200000	0.003755	0.950000	100.000000	0.200000	1	0	13	0	1	0.405950	0
