trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	2	1	1	0.508540	0
1	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	6	0	1	0.123550	0
2	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	11	0	1	0.242870	0
3	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	0	0	1	0.312450	0
4	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	1	30	1	1	0.250080	0
5	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	35	0	1	0.985110	0
6	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	0	2	1	0	0.484770	0
7	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	2	1	0	0.664820	0
8	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	16	0	0	1.424370	0
9	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	39	1	1	0.102080	0
10	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	26	1	0	0.991480	0
11	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	0	0	1	0.142090	0
12	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	16	1	1	0.120460	0
13	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	16	0	1	0.662460	0
14	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	0	15	1	0	0.752620	0
15	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	1	29	1	1	0.457490	0
16	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	7	1	1	0.115340	0
17	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	6	0	1	0.104810	0
18	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	8	0	1	0.465560	0
19	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	19	0	1	0.111650	0
20	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	33	0	1	0.173190	0
21	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	0	15	0	1	0.144580	0
22	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	31	0	1	0.211450	0
23	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	12	0	1	0.386900	0
24	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	1	1	1	0.165980	0
25	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	18	1	1	0.114810	0
26	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	23	0	1	0.093680	0
27	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	0	38	0	1	0.150570	0
28	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	28	0	1	0.623270	0
29	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	19	0	1	0.857670	0
30	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	38	1	0	1.212600	0
31	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	32	1	1	0.135260	0
32	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	5	1	0	0.425820	0
33	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	1	0	1	1.512900	0
34	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	37	1	1	0.089320	0
35	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	17	1	1	0.153080	0
36	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	1	32	1	1	0.114750	0
37	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	38	1	0	0.225820	0
38	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	0	17	0	1	0.103170	0
39	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	20	1	1	0.167170	0
40	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	24	1	1	0.100000	0
41	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	0	29	1	0	0.482240	0
42	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	34	1	1	0.125750	0
43	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	0	24	0	1	0.115160	0
44	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	0	14	1	0	0.550930	0
45	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	32	0	1	0.675580	0
46	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	0	10	0	1	0.165120	0
47	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	29	1	1	0.148590	0
48	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	0	27	0	1	0.141410	0
49	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	26	1	1	0.239800	0
50	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	1	36	1	1	0.058780	0
51	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	4	0	1	0.119430	0
52	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	0	19	0	1	0.137360	0
53	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	0	7	0	1	0.156470	0
54	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	1	9	1	1	0.455320	0
55	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	27	1	1	0.076890	0
56	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	1	16	1	1	0.224130	0
57	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	25	0	1	0.088330	0
58	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	34	1	1	0.069950	0
59	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	0	1	33	1	1	0.051260	0
60	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	1	5	1	1	0.094600	0
61	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	0	1	17	1	1	0.041490	0
62	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	4	1	1	0.083800	0
63	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	1	1	24	1	1	0.314350	0
64	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	20	0	0	0.823490	0
65	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	18	1	1	0.248120	0
66	narrow3	0.200000	0.007507	0.950000	100.000000	0.200000	0	1	21	1	1	0.199240	0
67	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	14	0	1	0.439190	0
68	narrow3	0.200000	0.015005	0.950000	100.000000	0.200000	1	0	15	0	1	0.177950	0
69	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	15	0	0	0.946650	0
70	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	1	1	11	1	1	0.092160	0
71	narrow3	0.200000	0.030000	0.950000	100.000000	0.200000	0	1	14	1	1	0.096570	0
72	narrow3	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	16	1	1	1.708800	0
73	narrow3	0.200000	0.022502	0.950000	100.000000	0.200000	1	0	12	0	1	0.186350	0
