trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	25	1	0	1.597290	0
1	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	7	1	1	0.240990	0
2	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	23	1	0	0.471950	0
3	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	27	0	1	0.290400	0
4	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	1	17	1	1	0.222670	0
5	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	7	1	1	0.216710	0
6	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	26	1	1	0.297980	0
7	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	26	1	0	0.517350	0
8	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	26	0	1	0.366390	0
9	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	25	0	1	0.699000	0
10	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	0	2	0	1	0.314470	0
11	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	15	1	1	0.185260	0
12	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	12	0	1	0.269440	0
13	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	1	23	1	1	0.507770	0
14	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	34	1	1	0.821650	0
15	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	22	0	1	0.282620	0
16	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	1	16	0	0	0.471320	0
17	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	20	1	1	0.286250	0
18	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	25	0	0	0.632810	0
19	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	38	0	1	0.249530	0
20	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	21	1	1	0.168420	0
21	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	38	1	1	0.491710	0
22	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	13	0	1	0.241170	0
23	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	6	0	1	0.320400	0
24	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	12	0	1	0.206440	0
25	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	20	1	1	0.096090	0
26	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	28	1	1	0.291880	0
27	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	10	0	1	0.290200	0
28	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	28	1	1	0.130860	0
29	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	0	18	0	1	0.129510	0
30	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	7	0	1	0.626080	0
31	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	31	1	1	0.160480	0
32	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	24	1	1	0.182170	0
33	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	0	0	1	0.237180	0
34	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	26	1	1	0.102920	0
35	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	1	11	1	1	0.123220	0
36	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	33	1	1	0.151980	0
37	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	18	0	1	0.592040	0
38	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	3	1	1	0.067970	0
39	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	1	19	1	1	0.256380	0
40	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	37	1	1	0.097800	0
41	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	34	1	1	0.135110	0
42	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	37	1	0	0.452290	0
43	none	0.200000	0.004000	0.150000	100.000000	0.200000	0	1	7	1	1	0.084590	0
44	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	11	0	1	0.159340	0
45	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	26	0	1	0.102500	0
46	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	31	0	0	0.707100	0
47	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	1	0	1	0.176530	0
48	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	7	1	1	0.140400	0
49	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	34	0	1	0.283550	0
50	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	18	0	0	0.573190	0
51	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	1	4	1	1	0.536000	0
52	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	35	1	0	0.277640	0
53	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	0	17	0	1	0.115660	0
54	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	34	0	1	0.166810	0
55	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	35	1	1	0.835660	0
56	none	0.200000	0.004000	0.150000	100.000000	0.200000	1	1	18	1	1	0.104730	0
57	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	37	0	1	0.621150	0
58	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	20	0	1	0.139210	0
59	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	21	0	1	0.512190	0
60	none	0.200000	0.003003	0.150000	100.000000	0.200000	0	1	10	1	1	0.009550	0
61	none	0.200000	0.002005	0.150000	100.000000	0.200000	1	0	10	0	1	0.433120	0
62	none	0.200000	0.001008	0.150000	100.000000	0.200000	1	0	30	0	1	0.532090	0
63	none	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	5	0	0	0.620350	0
64	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	27	1	1	0.326850	0
65	none	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	13	0	0	0.736970	0
66	none	0.200000	0.001008	0.150000	100.000000	0.200000	0	0	16	0	1	0.233620	0
67	none	0.200000	0.002005	0.150000	100.000000	0.200000	0	0	11	0	1	0.647590	0
68	none	0.200000	0.003003	0.150000	100.000000	0.200000	1	1	23	1	1	0.071780	0
