trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	12	0	1	0.100530	0
1	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	8	0	1	0.095150	0
2	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	22	1	1	0.114750	0
3	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	19	0	1	0.167510	0
4	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	30	1	1	1.066830	0
5	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	21	0	1	0.029610	0
6	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	1	1	1	0.237260	0
7	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	9	1	1	0.375300	0
8	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	22	0	1	0.181780	0
9	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	8	1	1	0.166500	0
10	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	23	1	1	0.065860	0
11	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	14	1	1	0.056020	0
12	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	11	1	1	0.033980	0
13	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	29	0	0	0.552130	0
14	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	15	1	1	0.414960	0
15	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	1	1	1	0.455420	0
16	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	39	0	0	0.270200	0
17	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	31	1	0	1.247510	0
18	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	21	1	1	0.165530	0
19	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	26	1	0	1.239960	0
20	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	16	0	1	0.139520	0
21	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	0	1	0	0.258480	0
22	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	37	0	1	0.119000	0
23	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	25	0	1	0.040650	0
24	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	24	1	1	0.091260	0
25	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	13	1	1	0.102610	0
26	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	31	1	1	0.756900	0
27	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	39	1	1	0.318680	0
28	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	38	1	1	0.123830	0
29	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	33	0	1	0.617490	0
30	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	12	1	1	0.682120	0
31	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	7	1	1	0.489650	0
32	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	6	0	1	0.313330	0
33	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	4	0	1	0.127660	0
34	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	22	0	1	0.126460	0
35	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	35	1	1	0.099850	0
36	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	37	1	1	0.140410	0
37	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	37	1	1	0.358060	0
38	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	25	0	1	0.289980	0
39	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	22	0	1	0.374720	0
40	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	29	0	1	0.092340	0
41	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	1	39	1	1	0.156630	0
42	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	0	0	1	0.137700	0
43	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	7	1	1	0.735390	0
44	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	34	0	1	0.571830	0
45	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	26	1	1	0.152480	0
46	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	4	0	1	0.094850	0
47	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	6	0	0	0.432390	0
48	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	20	0	1	0.367150	0
49	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	16	0	0	0.592920	0
50	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	4	0	1	0.107030	0
51	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	12	1	1	0.126320	0
52	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	25	0	1	0.142340	0
53	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	10	0	1	1.017020	0
54	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	10	0	1	0.116060	0
55	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	3	0	0	0.436360	0
56	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	10	0	1	0.359990	0
57	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	26	0	1	0.280050	0
58	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	13	0	0	0.467910	0
59	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	12	0	1	0.204010	0
60	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	20	0	1	0.130150	0
61	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	36	0	1	0.102390	0
62	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	12	0	0	2.006470	0
63	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	19	0	1	0.159440	0
64	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	11	1	1	1.977270	0
65	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	22	1	1	0.728700	0
66	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	2	1	1	1.691010	0
67	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	18	1	1	0.979800	0
68	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	28	0	1	0.327760	0
69	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	2	0	1	0.104720	0
70	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	34	0	1	0.396420	0
71	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	1	0	1	0.692960	0
72	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	23	0	1	0.079480	0
73	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	35	0	0	0.753220	0
74	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	24	1	1	0.016220	0
75	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	5	1	1	0.072730	0
76	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	34	1	1	0.024890	0
77	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	15	0	1	0.563300	0
78	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	1	12	1	1	1.117400	0
79	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	12	1	1	0.460530	0
80	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	34	1	1	0.084230	0
81	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	5	1	1	0.054050	0
82	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	35	1	1	0.235340	0
83	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	9	0	0	0.823490	0
84	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	26	1	1	1.190650	0
85	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	24	0	0	0.742060	0
86	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	29	0	1	0.208850	0
87	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	18	0	0	1.023740	0
88	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	28	0	1	0.173000	0
89	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	30	1	1	0.096290	0
90	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	33	0	1	0.085830	0
91	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	12	1	1	0.072400	0
92	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	5	0	1	0.252880	0
93	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	13	0	1	0.465060	0
94	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	17	0	1	0.033850	0
95	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	31	1	1	0.054350	0
96	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	9	1	0	0.908890	0
97	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	28	1	0	0.413560	0
98	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	8	1	0	0.194400	0
99	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	30	0	1	0.071750	0
