trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	19	0	0	1.565280	0
1	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	12	0	0	0.543290	0
2	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	13	1	0	0.215920	0
3	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	0	16	0	1	0.261900	0
4	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	5	1	0	0.215420	0
5	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	26	0	0	0.733060	0
6	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	28	0	0	0.686900	0
7	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	1	39	0	0	0.267940	0
8	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	5	1	1	0.703840	0
9	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	1	6	1	1	0.107500	0
10	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	30	1	1	0.262760	0
11	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	7	1	1	1.266950	0
12	white	0.200000	0.015000	0.950000	100.000000	0.200000	0	1	37	1	1	0.107120	0
13	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	0	14	0	1	0.135260	0
14	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	11	0	1	1.321640	0
15	white	0.200000	0.007505	0.950000	100.000000	0.200000	1	1	33	1	1	0.079890	0
16	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	1	11	0	0	0.464930	0
17	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	1	13	1	1	0.087060	0
18	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	16	1	1	0.065400	0
19	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	0	19	0	1	0.091060	0
20	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	4	0	1	0.158630	0
21	white	0.200000	0.011252	0.950000	100.000000	0.200000	1	0	28	0	1	0.348940	0
22	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	31	1	1	0.165180	1
23	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	0	35	0	1	0.937020	0
24	white	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	24	1	1	0.056730	0
25	white	0.200000	0.011252	0.950000	100.000000	0.200000	0	1	24	1	1	0.308870	0
26	white	0.200000	0.003757	0.950000	100.000000	0.200000	0	0	32	0	1	0.259950	0
27	white	0.200000	0.007505	0.950000	100.000000	0.200000	0	0	29	0	1	0.464700	0
28	white	0.200000	0.003757	0.950000	100.000000	0.200000	1	1	32	0	0	1.028150	0
29	white	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	25	0	0	0.607020	0
30	white	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	0	0	0	0.324940	0
