trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	0	1	37	1	1	0.053420	0
1	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	1	1	30	1	1	2.989570	0
2	pink1	0.200000	0.030000	0.048000	100.000000	0.500000	1	1	25	1	1	0.030220	0
3	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	0	0	4	0	1	0.615540	0
4	narrow9	0.200000	0.020000	0.950000	100.000000	0.500000	0	0	1	0	1	1.890690	0
5	none	0.200000	0.010000	0.950000	100.000000	0.500000	1	1	30	1	1	0.109840	0
6	white	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	35	1	1	0.317550	0
7	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	0	0	38	0	1	0.199350	0
8	none	0.200000	0.010000	0.150000	100.000000	0.500000	0	0	16	0	1	0.055730	0
9	narrow9	0.200000	0.015000	0.150000	100.000000	0.500000	0	1	1	1	1	0.334730	0
10	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	1	1	18	1	1	0.213810	0
11	none	0.200000	0.010000	0.150000	100.000000	0.500000	0	0	12	0	1	0.251640	0
12	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	1	0	33	0	1	0.097010	0
13	none	0.200000	0.010000	0.950000	100.000000	0.500000	0	0	26	0	1	0.051940	0
14	narrow9	0.200000	0.030000	0.048000	100.000000	0.500000	1	0	16	0	1	0.173790	0
15	pink1	0.200000	0.030000	0.048000	100.000000	0.200000	0	1	28	1	1	0.388090	0
16	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.200000	1	1	19	1	1	0.332410	0
17	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	1	0	3	0	1	0.315410	0
18	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	28	0	1	0.223890	0
19	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	1	26	1	1	0.051850	0
20	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	1	0	1	0	1	0.067880	0
21	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	23	1	1	0.214170	0
22	pink2	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	25	1	1	0.129250	0
23	narrow0.5	0.200000	0.010000	0.048000	100.000000	0.200000	1	0	13	0	1	0.055930	0
24	pink1	0.200000	0.030000	0.150000	100.000000	0.200000	0	1	21	1	1	0.054800	0
25	pink2	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	20	0	1	0.084500	0
26	white	0.200000	0.030000	0.048000	100.000000	0.200000	1	0	6	0	1	0.082000	0
27	white	0.200000	0.020000	0.950000	100.000000	0.200000	1	0	34	0	1	0.367370	0
28	white	0.200000	0.020000	0.150000	100.000000	0.200000	0	0	26	0	1	0.223550	0
29	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	0	1	25	1	1	0.258380	0
30	narrow9	0.200000	0.030000	0.048000	100.000000	0.200000	0	1	36	1	1	0.123270	0
31	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	1	1	33	1	1	0.155620	0
32	none	0.200000	0.010000	0.950000	100.000000	0.200000	0	1	17	1	1	0.195040	0
33	white	0.200000	0.030000	0.048000	100.000000	0.200000	0	1	10	1	1	0.122620	0
34	narrow9	0.200000	0.020000	0.950000	100.000000	0.200000	1	1	35	1	1	0.203840	0
