trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	2	0	0	0.934840	0
1	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	39	0	0	0.520800	0
2	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	10	0	1	0.217460	0
3	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	2	1	1	0.168100	0
4	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	13	0	1	0.690830	0
5	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	0	22	0	1	0.105810	0
6	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	1	1	25	1	1	0.100330	0
7	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	36	1	1	0.105840	0
8	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	31	1	0	0.922740	0
9	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	31	1	0	0.726830	0
10	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	23	1	1	0.476360	0
11	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	26	0	1	0.401500	0
12	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	10	0	0	0.834110	0
13	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	39	1	1	0.039460	0
14	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	2	0	1	0.107270	0
15	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	24	1	1	0.162810	0
16	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	7	1	1	0.588060	0
17	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	30	0	1	0.167960	0
18	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	35	0	1	0.133610	0
19	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	23	0	1	0.301130	0
20	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	35	0	1	0.158680	0
21	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	33	0	1	0.422710	0
22	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	12	0	1	0.134630	0
23	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	25	0	1	0.137510	0
24	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	0	1	1	0.365830	0
25	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	0	0	19	1	0	0.356150	0
26	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	6	0	1	0.191720	0
27	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	1	6	1	1	0.220590	0
28	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	1	12	1	1	0.147650	0
29	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	34	1	0	0.671850	0
30	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	24	0	1	0.124300	0
31	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	18	0	1	0.384480	0
32	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	5	0	1	0.638020	0
33	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	27	0	0	0.525810	0
34	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	0	20	0	1	0.156440	0
35	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	0	1	23	1	1	0.129140	0
36	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	17	1	1	0.096200	0
37	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	8	1	0	0.610820	0
38	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	16	0	0	0.447110	0
39	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	6	0	1	0.212590	0
40	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	0	8	0	1	0.255790	0
41	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	0	0	38	0	1	0.229730	0
42	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	38	1	0	0.683920	0
43	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	38	0	1	0.511490	0
44	narrow0.5	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	38	1	1	0.545010	0
45	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	1	2	0	0	0.556730	0
46	narrow0.5	0.200000	0.003000	0.150000	100.000000	0.200000	1	1	18	1	1	0.165020	0
47	narrow0.5	0.200000	0.000758	0.150000	100.000000	0.200000	1	0	8	0	1	0.548520	0
48	narrow0.5	0.200000	0.002253	0.150000	100.000000	0.200000	0	0	1	0	1	0.164660	0
49	narrow0.5	0.200000	0.001505	0.150000	100.000000	0.200000	1	1	34	1	1	0.458980	0
