trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	0	38	0	1	0.191430	0
1	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	1	18	0	0	0.863170	0
2	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	24	1	1	0.915080	0
3	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	0	1	33	1	1	0.354180	0
4	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	0	10	0	1	0.282210	0
5	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	1	21	1	1	0.128750	0
6	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	1	6	1	1	0.530380	0
7	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	0	37	0	1	0.326100	0
8	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	1	1	20	1	1	0.168910	0
9	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	0	38	0	1	0.820970	0
10	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	25	1	0	0.600450	0
11	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	1	9	1	1	0.174850	0
12	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	0	7	0	1	0.143650	0
13	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	0	23	0	1	0.085840	0
14	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	30	0	1	0.593510	0
15	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	1	1	15	1	1	0.098100	0
16	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	1	5	1	1	0.099120	0
17	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	0	1	0	1	0.128110	0
18	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	0	1	19	0	0	0.646610	0
19	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	0	26	0	1	0.168410	0
20	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	32	0	0	0.415370	0
21	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	0	9	0	1	0.120820	0
22	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	16	1	1	0.280690	0
23	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	2	0	0	0.766110	0
24	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	1	0	15	0	1	0.486130	0
25	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	1	0	34	0	1	0.154030	0
26	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	0	15	0	1	0.139200	0
27	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	1	0	24	0	1	0.351480	0
28	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	0	1	30	0	0	1.122830	0
29	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	1	32	1	1	0.117340	0
30	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	0	19	0	1	0.198150	0
31	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	31	0	0	0.708400	0
32	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	28	0	1	1.576920	0
33	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	0	11	1	0	0.277780	0
34	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	1	35	1	1	0.113910	0
35	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	1	0	10	0	1	0.989580	0
36	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	33	1	1	0.811650	0
37	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	1	1	31	1	1	0.137040	0
38	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	1	1	6	1	1	0.064030	0
39	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	1	1	5	1	1	0.186630	0
40	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	0	0	30	0	1	0.581470	0
41	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	38	1	1	0.679520	0
42	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	0	13	0	1	0.131700	0
43	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	0	17	0	1	0.146290	0
44	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	21	1	1	0.194200	0
45	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	0	34	0	1	0.163760	0
46	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	1	0	29	1	0	0.600080	0
47	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	1	1	23	1	1	0.192170	0
48	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	1	0	28	0	1	0.333290	0
49	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	1	0	26	0	1	0.620610	0
50	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	1	0	8	0	1	0.146540	0
51	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	0	30	0	1	0.115510	0
52	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	19	0	0	0.574710	0
53	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	1	0	13	0	1	0.393550	0
54	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	1	1	26	1	1	0.286840	0
55	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	1	0	37	0	1	0.571100	0
56	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	1	1	0	1	1	0.302130	0
57	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	1	1	4	1	1	0.205870	0
58	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	23	1	1	0.760170	0
59	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	1	1	13	1	1	0.290780	0
60	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	1	1	22	1	1	0.304870	0
61	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	1	11	1	1	0.263910	0
62	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	0	1	9	1	1	0.870550	0
63	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	6	1	0	0.657590	0
64	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	1	1	10	1	1	0.187630	0
65	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	24	1	0	0.612360	0
66	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	1	9	1	1	0.206160	0
67	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	0	20	0	1	0.370770	0
68	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	1	1	31	1	1	0.514740	0
69	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	1	0	21	0	1	0.401160	0
70	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	0	6	0	1	0.290180	0
71	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	1	1	33	1	1	0.376120	0
72	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	0	34	0	1	0.303180	0
73	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	0	1	7	1	1	0.147110	0
74	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	0	0	11	1	0	0.430120	0
75	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	0	34	0	1	0.144780	0
76	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	1	1	35	1	1	0.177210	0
77	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	1	1	5	1	1	0.357730	0
78	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	32	0	0	0.205550	0
79	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	0	1	0	1	1	0.426610	0
80	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	1	1	25	1	1	0.195210	0
81	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	1	0	3	1	0	0.507870	0
82	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	1	1	30	1	1	0.150760	0
83	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	0	1	24	1	1	0.562610	0
84	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	1	1	11	1	1	0.256020	0
85	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	25	1	1	0.738210	0
86	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	1	0	29	0	1	0.225620	0
87	narrow3	0.200000	0.004502	0.048000	100.000000	0.200000	1	1	11	1	1	0.180150	0
88	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	1	7	1	1	0.132600	0
89	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	1	1	1	1	1	0.150440	0
90	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	16	1	0	0.799180	0
91	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	0	0	0	1	0	0.581800	0
92	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	1	1	24	1	1	0.153800	0
93	narrow3	0.200000	0.003005	0.048000	100.000000	0.200000	0	0	12	0	1	0.403030	0
94	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	21	1	0	0.169540	0
95	narrow3	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	26	0	1	0.130730	0
96	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	0	0	0	1	0.052630	0
97	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	1	0	39	1	0	0.616270	0
98	narrow3	0.200000	0.006000	0.048000	100.000000	0.200000	0	0	25	0	1	0.071350	0
99	narrow3	0.200000	0.001508	0.048000	100.000000	0.200000	0	0	31	0	1	0.149840	0
