trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	8	1	0	0.487140	0
1	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	18	1	1	0.199840	0
2	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	1	33	1	1	0.162580	0
3	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	24	0	1	0.222090	0
4	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	17	0	1	0.378090	0
5	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	17	1	1	0.202410	0
6	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	1	0	1	0.207370	0
7	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	2	1	1	0.321920	0
8	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	22	1	1	0.120580	0
9	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	7	0	1	0.100610	0
10	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	31	1	1	0.070740	0
11	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	26	0	0	0.258310	0
12	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	3	0	0	0.485000	0
13	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	30	0	1	0.363200	0
14	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	28	1	1	0.036190	0
15	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	11	0	1	0.295820	0
16	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	1	16	1	1	0.088640	0
17	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	10	1	0	0.227270	0
18	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	3	0	0	0.304520	0
19	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	0	1	0	0.250340	0
20	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	0	14	0	1	0.075070	0
21	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	11	0	1	0.453930	0
22	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	10	1	1	0.474990	0
23	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	1	12	1	1	0.119090	0
24	none	0.200000	0.005000	0.950000	100.000000	0.200000	1	1	36	1	1	0.049810	0
25	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	30	0	1	0.331190	0
26	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	1	26	1	1	0.292550	0
27	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	36	1	1	0.163650	0
28	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	37	1	1	0.525300	0
29	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	34	0	1	0.444610	0
30	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	16	1	0	0.635580	0
31	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	23	1	1	0.149160	0
32	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	21	1	1	0.221170	0
33	none	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	1	0	1	0.495400	0
34	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	0	23	0	1	0.394920	0
35	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	33	0	1	0.180670	0
36	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	31	0	1	0.286400	0
37	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	1	27	1	1	0.279120	0
38	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	19	0	0	0.737620	0
39	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	30	0	1	0.380010	0
40	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	24	0	1	0.121650	0
41	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	0	36	0	1	0.188050	0
42	none	0.200000	0.003753	0.950000	100.000000	0.200000	0	0	39	0	1	0.084200	0
43	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	22	0	1	0.252040	0
44	none	0.200000	0.002505	0.950000	100.000000	0.200000	1	0	17	1	0	0.944080	0
45	none	0.200000	0.002505	0.950000	100.000000	0.200000	0	0	34	0	1	0.030670	0
46	none	0.200000	0.005000	0.950000	100.000000	0.200000	0	0	12	0	1	0.119480	0
47	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	5	1	0	0.383730	0
48	none	0.200000	0.001258	0.950000	100.000000	0.200000	1	1	29	1	1	0.296980	0
49	none	0.200000	0.003753	0.950000	100.000000	0.200000	1	1	36	1	1	0.193510	0
50	none	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	33	0	0	0.101040	0
51	none	0.200000	0.001258	0.950000	100.000000	0.200000	0	1	11	1	1	0.895470	0
