trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	22	0	1	0.484280	0
1	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	0	0	0	1.497170	0
2	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	35	1	1	0.984740	0
3	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	1	1	1	0.158830	0
4	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	23	1	1	0.073800	0
5	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	17	0	1	0.091680	0
6	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	15	0	1	0.787970	0
7	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	17	0	1	0.112030	0
8	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	3	0	0	0.535880	0
9	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	19	0	1	0.094980	0
10	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	26	1	1	0.943710	0
11	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	22	0	1	0.288760	0
12	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	1	36	0	0	0.685900	0
13	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	30	1	1	0.024920	0
14	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	1	0	1	0.185800	0
15	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	33	0	1	0.076990	0
16	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	27	0	1	0.060320	0
17	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	1	1	1	0.085810	0
18	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	34	1	1	0.065090	0
19	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	11	1	1	0.065040	0
20	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	16	1	1	0.908520	0
21	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	17	0	1	0.242720	0
22	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	24	1	1	0.064770	0
23	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	12	1	1	0.042540	0
24	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	6	1	1	0.283340	0
25	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	0	37	0	1	0.071580	0
26	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	35	0	1	0.060110	0
27	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	14	0	1	0.699050	0
28	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	34	0	1	0.422360	0
29	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	0	0	0	1	0.112110	0
30	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	12	1	1	0.098310	0
31	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	11	1	0	0.743880	0
32	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	24	0	1	0.191650	0
33	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	11	0	1	0.078740	0
34	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	1	18	1	1	0.180500	0
35	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	8	1	1	0.038020	0
36	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	15	0	1	0.674490	0
37	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	35	1	1	0.118010	0
38	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	39	1	1	0.399290	0
39	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	17	1	1	0.003240	0
40	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	0	2	0	1	0.087740	0
41	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	18	0	0	0.731290	0
42	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	1	0	2	0	1	0.185440	0
43	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	5	1	1	0.047810	0
44	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	1	5	1	1	0.085430	0
45	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	9	1	1	0.032530	0
46	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	34	1	1	0.319850	0
47	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	1	22	0	0	0.396060	0
48	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	1	1	34	1	1	0.026720	0
49	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	21	1	1	0.247040	0
50	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	32	1	1	0.086420	0
51	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	19	1	1	0.130980	0
52	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	9	1	1	0.057720	0
53	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	14	1	0	1.157570	0
54	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	26	0	1	0.087710	0
55	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	35	1	1	0.047650	0
56	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	21	0	1	0.151450	0
57	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	31	0	0	0.565050	0
58	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	1	12	1	1	1.200860	0
59	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	0	0	24	0	1	0.073530	0
60	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	37	0	1	0.356070	0
61	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	1	1	0	0.550700	0
62	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	2	1	1	0.137350	0
63	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	16	0	1	0.431510	0
64	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	13	0	1	0.834010	0
65	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	15	1	0	1.179710	0
66	pink1	0.200000	0.025005	0.950000	100.000000	0.200000	0	0	10	0	1	0.029030	0
67	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	1	5	0	0	0.607540	0
68	pink1	0.200000	0.050000	0.950000	100.000000	0.200000	1	1	37	1	1	0.043070	0
69	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	1	0	10	1	0	0.192470	0
70	pink1	0.200000	0.000010	0.950000	100.000000	0.200000	0	0	8	1	0	0.257850	0
71	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	6	0	0	0.149780	0
72	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	0	13	0	1	0.389120	0
73	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	1	0	28	1	0	0.317330	0
74	pink1	0.200000	0.037503	0.950000	100.000000	0.200000	0	1	38	1	1	0.136430	0
75	pink1	0.200000	0.012507	0.950000	100.000000	0.200000	0	1	6	0	0	0.163190	0
