trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	white	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	36	1	1	0.275170	0
1	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	10	0	1	0.362650	0
2	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	1	1	0	0.332280	0
3	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	28	1	0	0.332030	0
4	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	27	0	1	0.108210	0
5	white	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	22	0	1	0.096500	0
6	white	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	20	1	1	0.086560	0
7	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	10	1	0	0.629420	0
8	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	17	0	1	0.323110	0
9	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	14	0	0	0.833710	0
10	white	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	16	0	0	0.391810	0
11	white	0.200000	0.015000	0.048000	100.000000	0.200000	1	0	18	0	1	0.158370	0
12	white	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	1	1	1	0.027980	0
13	white	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	30	0	1	0.540780	0
14	white	0.200000	0.011252	0.048000	100.000000	0.200000	1	0	1	0	1	0.149460	0
15	white	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	6	0	1	0.193620	0
16	white	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	6	0	1	0.288550	0
17	white	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	38	0	1	0.371950	0
18	white	0.200000	0.011252	0.048000	100.000000	0.200000	1	1	23	1	1	0.269890	0
19	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	22	0	1	0.560360	0
20	white	0.200000	0.003757	0.048000	100.000000	0.200000	0	0	9	0	1	0.653830	0
21	white	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	31	1	0	0.410070	0
22	white	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	22	0	1	0.182950	0
