trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	1	0	26	0	1	0.130670	0
1	pink1	0.200000	0.060000	0.950000	100.000000	0.500000	1	1	0	1	1	0.023500	0
2	pink2	0.200000	0.015000	0.048000	100.000000	0.500000	1	1	20	1	1	0.059490	0
3	white	0.200000	0.030000	0.048000	100.000000	0.500000	0	0	6	0	1	0.048280	0
4	narrow9	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	27	1	1	1.005740	0
5	narrow0.5	0.200000	0.015000	0.950000	100.000000	0.500000	1	1	19	1	1	0.540910	0
6	white	0.200000	0.030000	0.048000	100.000000	0.500000	0	1	13	1	1	0.053270	0
7	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	0	0	26	0	1	0.555220	0
8	narrow3	0.200000	0.020000	0.048000	100.000000	0.500000	0	1	10	1	1	0.347480	0
9	none	0.200000	0.010000	0.150000	100.000000	0.500000	0	1	27	1	1	0.602180	0
10	white	0.200000	0.020000	0.150000	100.000000	0.500000	0	0	3	0	1	0.413550	0
11	narrow3	0.200000	0.025000	0.150000	100.000000	0.500000	1	1	15	1	1	0.361170	0
12	pink1	0.200000	0.030000	0.150000	100.000000	0.500000	1	0	12	0	1	0.224060	0
13	narrow3	0.200000	0.050000	0.950000	100.000000	0.500000	0	0	39	0	1	0.254250	0
14	pink2	0.200000	0.020000	0.950000	100.000000	0.500000	0	1	33	1	1	0.219110	0
15	none	0.200000	0.010000	0.048000	100.000000	0.200000	0	1	8	1	1	0.371030	0
16	none	0.200000	0.010000	0.150000	100.000000	0.200000	1	1	31	1	1	-0.000460	0
17	narrow3	0.200000	0.025000	0.150000	100.000000	0.200000	0	0	15	0	1	0.218900	0
18	narrow0.5	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	6	0	1	0.121710	0
19	white	0.200000	0.020000	0.150000	100.000000	0.200000	0	1	15	1	1	0.096390	0
