trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	1	7	0	0	0.580820	0
1	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	1	8	1	1	0.435740	0
2	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	0	0	15	1	0	1.206300	0
3	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	1	21	0	0	1.076290	0
4	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	7	0	1	0.329930	0
5	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	32	1	1	0.368600	0
6	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	0	35	0	1	0.358980	0
7	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	0	10	1	0	0.510140	0
8	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	0	6	0	1	1.083690	0
9	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	37	0	0	0.812720	0
10	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	8	0	1	0.727050	0
11	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	33	0	0	0.595340	0
12	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	36	0	1	0.589100	0
13	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	1	25	1	1	0.455100	0
14	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	1	24	1	1	0.671710	0
15	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	1	0	17	0	1	0.390470	0
16	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	2	1	1	0.411490	0
17	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	1	17	1	1	0.297840	0
18	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	5	1	1	0.148470	0
19	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	2	0	1	0.449440	0
20	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	1	2	1	1	0.254580	0
21	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	21	0	1	1.306760	0
22	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	6	1	1	1.941900	0
23	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	4	1	1	1.252930	0
24	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	1	12	1	1	1.091350	0
25	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	0	20	0	1	0.604080	0
26	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	2	1	0	0.614500	0
27	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	24	0	1	0.985140	0
28	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	1	1	17	1	1	0.543840	0
29	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	1	1	0	0.724360	0
30	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	0	39	1	0	1.753870	0
31	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	1	16	1	1	1.356420	0
32	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	34	1	1	1.687630	0
33	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	0	0	36	0	1	0.443470	0
34	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	27	0	0	1.115850	0
35	narrow0.5	0.200000	0.002505	0.048000	100.000000	0.200000	0	0	35	0	1	1.183130	0
36	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	20	1	1	0.660320	0
37	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	0	13	0	1	0.768790	0
38	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	13	0	1	1.058950	0
39	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	22	1	0	0.675660	0
40	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	3	0	0	0.939460	0
41	narrow0.5	0.200000	0.003753	0.048000	100.000000	0.200000	0	0	16	0	1	0.483300	0
42	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	1	37	1	1	0.297960	0
43	narrow0.5	0.200000	0.001258	0.048000	100.000000	0.200000	1	1	35	1	1	1.393640	0
44	narrow0.5	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	13	1	1	0.774970	0
45	narrow0.5	0.200000	0.005000	0.048000	100.000000	0.200000	1	0	23	0	1	0.988530	0
