trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	11	1	1	0.430230	0
1	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	0	29	0	1	0.296400	0
2	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	0	35	1	0	0.308960	0
3	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	23	1	1	0.240390	0
4	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	38	0	1	0.380140	0
5	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	1	10	1	1	0.183960	0
6	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	0	33	1	0	0.402990	0
7	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	9	0	1	0.436200	0
8	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	23	1	1	0.463990	0
9	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	16	0	0	0.339620	0
10	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	1	39	1	1	0.211240	0
11	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	0	28	0	1	0.251970	0
12	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	0	32	1	0	0.228140	0
13	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	5	0	1	0.433090	0
14	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	1	35	1	1	0.287080	0
15	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	6	0	0	0.234550	0
16	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	15	1	1	0.200300	0
17	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	1	1	35	0	0	0.583910	0
18	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	1	29	1	1	0.328060	0
19	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	35	1	1	0.254410	0
20	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	0	29	0	1	0.318240	0
21	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	20	1	1	0.719960	0
22	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	0	14	0	1	0.258380	0
23	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	0	0	16	0	1	0.280710	1
24	narrow3	0.200000	0.003757	0.150000	100.000000	0.200000	0	1	9	1	1	0.453380	0
25	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	1	7	1	1	0.243880	0
26	narrow3	0.200000	0.011252	0.150000	100.000000	0.200000	1	1	21	1	1	0.241140	0
27	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	0	4	0	1	0.436600	0
28	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	33	1	1	0.252430	0
29	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	0	1	16	0	0	0.537400	0
30	narrow3	0.200000	0.000010	0.150000	100.000000	0.200000	1	1	29	1	1	0.257680	0
31	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	0	0	27	0	1	0.314020	0
32	narrow3	0.200000	0.015000	0.150000	100.000000	0.200000	1	0	12	0	1	0.357980	0
33	narrow3	0.200000	0.007505	0.150000	100.000000	0.200000	1	1	1	1	1	0.270880	0
