trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	21	0	0	0.888080	0
1	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	38	1	0	0.466360	0
2	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	0	29	1	0	0.383970	0
3	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	0	30	0	1	0.422690	0
4	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	1	21	1	1	0.396970	0
5	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	0	31	1	0	0.376190	0
6	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	17	0	1	0.625190	0
7	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	0	26	1	0	1.945350	0
8	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	37	0	1	1.178290	0
9	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	0	28	0	1	0.316270	0
10	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	1	9	1	1	0.242830	0
11	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	39	0	0	0.425430	0
12	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	0	39	0	1	0.439010	0
13	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	8	1	1	0.246960	0
14	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	16	1	0	0.698050	0
15	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	1	18	1	1	0.287430	0
16	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	0	5	0	1	0.264450	0
17	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	37	0	0	0.595290	0
18	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	1	14	1	1	0.206740	0
19	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	0	15	0	1	0.308010	0
20	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	0	2	1	0	1.118810	0
21	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	0	35	0	1	0.487150	0
22	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	0	20	0	1	0.708690	0
23	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	1	32	0	0	0.652090	0
24	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	1	28	1	1	0.289820	0
25	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	32	0	1	0.323570	0
26	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	0	39	0	1	0.284930	0
27	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	0	19	1	0	0.524120	0
28	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	22	0	1	0.325400	0
29	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	12	0	0	0.368400	0
30	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	1	0	1	1	0.314310	0
31	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	11	0	1	0.405980	0
32	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	20	0	1	0.486930	0
33	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	1	38	1	1	0.325010	0
34	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	11	0	0	0.356690	0
35	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	35	1	0	0.523660	0
36	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	0	38	1	0	0.619840	0
37	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	29	1	1	0.353880	0
38	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	0	11	0	1	0.341350	0
39	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	1	21	1	1	0.294480	0
40	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	30	0	0	0.592080	0
41	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	1	10	1	1	0.334070	0
42	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	3	0	1	0.595300	0
43	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	1	11	1	1	0.752650	0
44	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	27	0	0	0.487200	0
45	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	8	1	1	0.333260	0
46	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	27	1	1	0.869580	0
47	none	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	31	0	0	0.430520	0
48	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	34	0	0	0.905590	0
49	none	0.200000	0.000758	0.048000	100.000000	0.200000	0	1	36	1	1	0.703030	0
50	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	38	1	0	0.523140	0
51	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	17	0	0	0.738620	0
52	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	0	12	0	1	0.477780	0
53	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	1	7	0	0	1.930620	0
54	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	33	0	0	0.781320	0
55	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	0	4	0	1	0.318040	0
56	none	0.200000	0.003000	0.048000	100.000000	0.200000	1	1	13	1	1	0.269080	0
57	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	0	39	0	1	0.228200	0
58	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	27	0	1	0.488750	0
59	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	32	0	0	0.271280	0
60	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	0	12	0	1	0.314450	0
61	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	22	1	1	0.469570	0
62	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	15	1	1	0.777240	0
63	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	1	28	0	0	0.846270	0
64	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	23	1	1	0.709300	0
65	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	4	1	1	0.665950	0
66	none	0.200000	0.003000	0.048000	100.000000	0.200000	0	1	18	1	1	0.418040	0
67	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	19	0	1	0.357760	0
68	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	0	1	1	1.244480	0
69	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	11	1	1	0.418660	0
70	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	29	0	1	0.419560	0
71	none	0.200000	0.001505	0.048000	100.000000	0.200000	1	1	36	1	1	0.282730	0
72	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	1	18	1	1	0.608840	0
73	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	35	1	1	1.511580	0
74	none	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	10	1	0	0.459640	0
75	none	0.200000	0.002253	0.048000	100.000000	0.200000	0	0	17	0	1	0.497310	0
76	none	0.200000	0.001505	0.048000	100.000000	0.200000	0	0	10	1	0	0.919820	0
77	none	0.200000	0.002253	0.048000	100.000000	0.200000	1	0	0	1	0	0.513660	0
78	none	0.200000	0.000758	0.048000	100.000000	0.200000	1	1	34	0	0	0.867120	0
