trial	noise	noise_contrast	edge_contrast	edge_width	mean_lum	stim_time	rotID	transID	maskID	resp	correct	resptime	dropframes
0	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	0	1	1	0.385510	0
1	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	9	1	1	0.238360	0
2	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	1	6	1	1	0.323290	0
3	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	30	1	1	1.255140	0
4	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	1	1	1	0.210220	0
5	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	0	31	0	1	0.323880	0
6	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	12	1	1	0.323570	0
7	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	1	2	1	1	0.459370	0
8	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	32	0	0	0.521660	0
9	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	14	1	0	0.373270	0
10	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	1	29	0	0	0.250180	0
11	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	0	0	23	0	1	0.348390	0
12	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	35	1	1	0.193870	0
13	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	32	1	1	0.794310	0
14	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	8	1	1	0.344740	0
15	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	37	1	1	0.884630	0
16	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	1	3	1	1	0.295680	0
17	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	0	1	18	0	0	0.364450	0
18	pink1	0.200000	0.007505	0.048000	100.000000	0.200000	1	0	25	1	0	0.282070	0
19	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	1	1	26	1	1	0.333850	0
20	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	0	30	0	1	0.338340	0
21	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	1	4	1	1	0.410500	0
22	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	1	12	0	0	0.443370	0
23	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	5	1	1	0.261000	0
24	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	0	0	15	0	1	0.436140	0
25	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	1	1	20	1	1	0.509900	0
26	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	0	1	16	0	0	0.359410	0
27	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	11	0	1	0.393730	0
28	pink1	0.200000	0.000010	0.048000	100.000000	0.200000	1	0	23	1	0	0.665500	0
29	pink1	0.200000	0.015000	0.048000	100.000000	0.200000	0	0	33	0	1	0.453990	0
30	pink1	0.200000	0.011252	0.048000	100.000000	0.200000	1	1	27	0	0	1.067920	0
31	pink1	0.200000	0.003757	0.048000	100.000000	0.200000	0	0	20	0	1	0.472500	0
